scene,frame,method,mse,psnr,ssim,static_mse,moving_mae
scene_9,0,noisy,0.0000420275,43.764662,0.992188,464.538086,
scene_9,0,2dnr,0.0000419418,43.773529,0.992212,462.772766,
scene_9,0,dataset_3dnr,0.0000099360,50.027875,0.997892,73.133011,
scene_9,0,ghost3dnr,0.0000420275,43.764662,0.992188,464.538086,
scene_9,1,noisy,0.0000281979,45.497838,0.994739,311.206665,15.547495
scene_9,1,2dnr,0.0000281010,45.512775,0.994762,309.203156,15.533901
scene_9,1,dataset_3dnr,0.0000089086,50.501921,0.998019,71.491074,13.924090
scene_9,1,ghost3dnr,0.0000377616,44.229495,0.993081,370.637604,55.673042
scene_9,2,noisy,0.0000414931,43.820242,0.992175,456.899872,18.921961
scene_9,2,2dnr,0.0000414054,43.829433,0.992201,455.104828,18.909595
scene_9,2,dataset_3dnr,0.0000083278,50.794718,0.998089,65.989609,16.833347
scene_9,2,ghost3dnr,0.0000315436,45.010884,0.994088,294.893829,55.556087
scene_9,3,noisy,0.0000424606,43.720143,0.992122,470.076172,19.731846
scene_9,3,2dnr,0.0000423744,43.728966,0.992143,468.324310,19.718075
scene_9,3,dataset_3dnr,0.0000084386,50.737304,0.998046,67.463036,17.188530
scene_9,3,ghost3dnr,0.0000303485,45.178628,0.994167,235.357285,67.941345
scene_9,4,noisy,0.0000414132,43.828608,0.992207,455.809631,19.307957
scene_9,4,2dnr,0.0000413261,43.837755,0.992231,454.012939,19.294514
scene_9,4,dataset_3dnr,0.0000082729,50.823441,0.998030,67.064690,16.910946
scene_9,4,ghost3dnr,0.0000284981,45.451843,0.994401,189.090134,74.181221
scene_9,5,noisy,0.0000414481,43.824956,0.992345,457.170319,19.364567
scene_9,5,2dnr,0.0000413615,43.834036,0.992368,455.394073,19.350027
scene_9,5,dataset_3dnr,0.0000083409,50.787895,0.998023,67.620880,17.153490
scene_9,5,ghost3dnr,0.0000307447,45.122292,0.994430,153.605927,81.124039
scene_9,6,noisy,0.0000416819,43.800524,0.992188,459.666290,19.689404
scene_9,6,2dnr,0.0000415956,43.809530,0.992211,457.890228,19.675159
scene_9,6,dataset_3dnr,0.0000084986,50.706510,0.998014,68.512306,17.568924
scene_9,6,ghost3dnr,0.0000342267,44.656355,0.993884,135.541031,92.510353
scene_9,7,noisy,0.0000418168,43.786495,0.992237,459.965485,20.132538
scene_9,7,2dnr,0.0000417299,43.795523,0.992261,458.183929,20.120556
scene_9,7,dataset_3dnr,0.0000082911,50.813859,0.998027,67.294807,18.013395
scene_9,7,ghost3dnr,0.0000390740,44.081123,0.993443,111.439194,98.559258
scene_9,8,noisy,0.0000425361,43.712421,0.992088,468.961243,19.911562
scene_9,8,2dnr,0.0000424491,43.721316,0.992111,467.173950,19.900433
scene_9,8,dataset_3dnr,0.0000085469,50.681928,0.998010,68.114204,18.044981
scene_9,8,ghost3dnr,0.0000422664,43.740051,0.993381,94.862274,100.741013
scene_9,9,noisy,0.0000418286,43.785263,0.992223,464.045685,19.745808
scene_9,9,2dnr,0.0000417421,43.794257,0.992245,462.267517,19.736950
scene_9,9,dataset_3dnr,0.0000085200,50.695592,0.998076,67.237831,17.924273
scene_9,9,ghost3dnr,0.0000558975,42.526078,0.992508,79.500008,108.890892
scene_9,10,noisy,0.0000276371,45.585077,0.994753,301.584229,16.295998
scene_9,10,2dnr,0.0000275396,45.600428,0.994776,299.555389,16.278770
scene_9,10,dataset_3dnr,0.0000080139,50.961561,0.998136,65.704979,15.686991
scene_9,10,ghost3dnr,0.0000752245,41.236406,0.991317,67.723503,123.402817
scene_9,11,noisy,0.0000315918,45.004254,0.994070,345.769135,17.486191
scene_9,11,2dnr,0.0000314973,45.017262,0.994094,343.807312,17.471800
scene_9,11,dataset_3dnr,0.0000083998,50.757332,0.998081,67.570618,16.275940
scene_9,11,ghost3dnr,0.0001104368,39.568862,0.990161,62.850399,142.160110
scene_9,12,noisy,0.0000420814,43.759094,0.992196,467.296600,19.693270
scene_9,12,2dnr,0.0000419956,43.767960,0.992218,465.529816,19.682753
scene_9,12,dataset_3dnr,0.0000083701,50.772714,0.998089,66.263550,17.948355
scene_9,12,ghost3dnr,0.0001440426,38.415091,0.989224,61.319679,154.741974
