epoch,learning_rate,train_total,train_static_gate,train_motion_gate,train_proxy,train_smooth,train_alpha_mean,train_alpha_static,train_alpha_motion,train_oracle_static,train_static_fraction,train_motion_fraction,train_output_proxy,train_d2_proxy,train_d3_proxy,val_total,val_static_gate,val_motion_gate,val_proxy,val_smooth,val_alpha_mean,val_alpha_static,val_alpha_motion,val_oracle_static,val_static_fraction,val_motion_fraction,val_output_proxy,val_d2_proxy,val_d3_proxy
1,0.00019980267284282717,0.12299557188816834,0.04768469144255505,0.04462616542912201,0.26486357650719583,0.0025081285566573713,0.4981803894042969,0.5405607745051384,0.24205733889175463,0.8095357839483768,0.4050564169883728,0.0634404718875885,0.26486357650719583,0.30542346474248916,0.27449781709583476,0.06488530657952651,0.012126317858928815,0.002514856599191262,0.2572108826134354,0.005938335300015751,0.6532669067382812,0.7240744102746248,0.04255721194203943,0.8178621651604772,0.40433216094970703,0.059882283210754395,0.2572108826134354,0.30413503339514136,0.272825388237834
2,0.0001992114701314478,0.0635897635074798,0.010830188632098725,0.0023188239083253848,0.25768483767751604,0.006319441756204469,0.6847105026245117,0.7707034843042493,0.03350441967813822,0.8132267436012626,0.409732848405838,0.059354692697525024,0.25768483767751604,0.30556862003868446,0.27379398624179885,0.06204668141435832,0.009803418470255565,0.0017287226651205856,0.2565834722481668,0.0062206236107158475,0.7086257934570312,0.7940102564170957,0.028045230283169076,0.8178621651604772,0.40433216094970703,0.059882283210754395,0.2565834722481668,0.30413503339514136,0.272825388237834
3,0.00019822872507286888,0.062277721386635676,0.00983723736499087,0.002016318952939855,0.256840203946922,0.006428304144719732,0.6927938461303711,0.7877563301008195,0.029588077813968994,0.8118154830299318,0.41301262378692627,0.06383109092712402,0.256840203946922,0.3048484497703612,0.27355321909999475,0.061528362799435854,0.009386677702423185,0.0015880555608873692,0.2564269248396158,0.0062271670321933925,0.7119293212890625,0.7977136168628931,0.02546361090207938,0.8178621651604772,0.40433216094970703,0.059882283210754395,0.2564269248396158,0.30413503339514136,0.272825388237834
4,0.0001968583161128631,0.06171619056840427,0.009588535334842163,0.001662768354449895,0.25615374359767884,0.006552165095854434,0.6895999908447266,0.7869416186586022,0.02501187724101328,0.8096246770583093,0.41223403811454773,0.06376504898071289,0.25615374359767884,0.30467747611692175,0.27332137804478407,0.061026216426398605,0.009110266189964022,0.0011255691512133126,0.256454149261117,0.006233486332348548,0.705810546875,0.7918341094627976,0.02055456055677496,0.8178621651604772,0.40433216094970703,0.059882283210754395,0.256454149261117,0.30413503339514136,0.272825388237834
5,0.00019510565162951537,0.06121028460620437,0.009151992911938578,0.0013318429548245803,0.25664481532294303,0.006340636817185441,0.6978883743286133,0.7922898617107421,0.022494174765142816,0.8138684327714145,0.4063625931739807,0.06569969654083252,0.25664481532294303,0.30454217875376344,0.2731570164905861,0.06069951469544321,0.00874514252791414,0.0013002739924559137,0.2562162287067622,0.006098804376961198,0.7155990600585938,0.8010531002655625,0.021906709946051706,0.8178621651604772,0.40433216094970703,0.059882283210754395,0.2562162287067622,0.30413503339514136,0.272825388237834
6,0.00019297764858882514,0.06095999928948004,0.008946327494413708,0.0013144889715306363,0.25646511564264074,0.00634033026835823,0.6999473571777344,0.7907918368000537,0.021194444290813408,0.813224357785657,0.4104457497596741,0.060876160860061646,0.25646511564264074,0.30437100474955514,0.2734585986472666,0.06033099885098636,0.008525986253516749,0.0010089817479865815,0.25619792309589684,0.006093625575886108,0.7121047973632812,0.7986829448491335,0.0196967266019783,0.8178621651604772,0.40433216094970703,0.059882283210754395,0.25619792309589684,0.30413503339514136,0.272825388237834
7,0.00019048270524660196,0.06063161675410811,0.008608219426605501,0.001444139526045607,0.2561857589171268,0.0064174965100392,0.6863288879394531,0.7859884686768055,0.02123127716720319,0.8084199966397136,0.4078451097011566,0.06779363751411438,0.2561857589171268,0.30484231578884646,0.27402174030430615,0.060523091873619705,0.008854243220412172,0.0005784508836654823,0.25658405059948564,0.00628119487373624,0.6930465698242188,0.7779195727780461,0.013284305161505472,0.8178621651604772,0.40433216094970703,0.059882283210754395,0.25658405059948564,0.30413503339514136,0.272825388237834
8,0.00018763066800438633,0.060548533307155594,0.008509201328706695,0.001498931272884363,0.2561356899677776,0.00627276347768202,0.6959609985351562,0.7904712327290326,0.02086486121334019,0.8134275674819946,0.41027122735977173,0.0643334686756134,0.2561356899677776,0.30390899744816124,0.272766339010559,0.06000290089286864,0.008341601409483701,0.0006857437468852368,0.2562842124607414,0.006158435295219533,0.704681396484375,0.7904191464185715,0.014743945670488756,0.8178621651604772,0.40433216094970703,0.059882283210754395,0.2562842124607414,0.30413503339514136,0.272825388237834
9,0.0001844327925502015,0.06033119632047601,0.008391113509787829,0.0010355014053544664,0.25679295550799,0.006374052602041047,0.6888284683227539,0.7877010749652982,0.017422095949768845,0.8117260651197284,0.4062715172767639,0.06636735796928406,0.25679295550799,0.3052017509471625,0.27454705216223374,0.059817328641656786,0.00809514999127714,0.0008846039589798238,0.256094703450799,0.006093471223721281,0.7110137939453125,0.7961466293781996,0.017064629682863597,0.8178621651604772,0.40433216094970703,0.059882283210754395,0.256094703450799,0.30413503339514136,0.272825388237834
10,0.0001809016994374947,0.06048924055357929,0.00828431354239001,0.0012765099849474382,0.25752150773769245,0.006236976454601972,0.7082128524780273,0.7938091864343733,0.01862882758723572,0.8161977087147534,0.40897849202156067,0.05823126435279846,0.25752150773769245,0.30583405308425426,0.273769460094627,0.05971193651203066,0.008041263376071583,0.0007731650158575576,0.25611464958637953,0.006115998490713537,0.7095489501953125,0.7954279994592071,0.015646480918803718,0.8178621651604772,0.40433216094970703,0.059882283210754395,0.25611464958637953,0.30413503339514136,0.272825388237834
11,0.0001770513242775789,0.060215448669623584,0.008100632052446599,0.0016825626351248957,0.2560526893939823,0.0062996592932904605,0.6960258483886719,0.7898635289166123,0.018802648303790193,0.8137555695138872,0.40604540705680847,0.062333911657333374,0.2560526893939823,0.3044775218004361,0.2727105658268556,0.059802534349728376,0.008204365287383553,0.0005377790670308968,0.25633538817055523,0.006220103845407721,0.6997833251953125,0.7864302601665258,0.012184265033283737,0.8178621651604772,0.40433216094970703,0.059882283210754395,0.25633538817055523,0.30413503339514136,0.272825388237834
12,0.00017289686274214112,0.06022489399765618,0.007984493784533697,0.0016327952744532581,0.2568030012771487,0.006340171485135215,0.6951761245727539,0.787721628556028,0.01864084163935331,0.8126345544587821,0.405195027589798,0.06346693634986877,0.2568030012771487,0.30559256102424115,0.27379251847742125,0.060131966311018914,0.0084113241682644,0.0009609480026711026,0.2559077087789774,0.00586256379756378,0.7294540405273438,0.8169906865805387,0.018864608246076386,0.8178621651604772,0.40433216094970703,0.059882283210754395,0.2559077087789774,0.30413503339514136,0.272825388237834
13,0.00016845471059286885,0.05963254104426596,0.007951816407512524,0.001011847164598123,0.25555956683820114,0.006288695709372405,0.699615478515625,0.7917680197861046,0.01573951623049652,0.8152746923733503,0.40466728806495667,0.0629560649394989,0.25555956683820114,0.3043210795149207,0.2724221216631122,0.05955528578488156,0.00790604032954434,0.0007183166155186882,0.25614329730160534,0.006142671743873507,0.705474853515625,0.7905879961326718,0.013937890471424907,0.8178621651604772,0.40433216094970703,0.059882283210754395,0.25614329730160534,0.30413503339514136,0.272825388237834
14,0.00016374239897486894,0.060197266182512976,0.007943735738081159,0.0014068795600934436,0.2574345634202473,0.006317721654340858,0.7007341384887695,0.7899269610643387,0.017476700259976496,0.8142134381923825,0.4107419550418854,0.060802459716796875,0.2574345634202473,0.3055998688796535,0.2738929212791845,0.0596457845531404,0.007998583598237019,0.0006436657131985157,0.2563146888278425,0.0062430271646007895,0.6946334838867188,0.7795585282146931,0.012266104517038912,0.8178621651604772,0.40433216094970703,0.059882283210754395,0.2563146888278425,0.30413503339514136,0.272825388237834
15,0.00015877852522924732,0.059997943084454164,0.007962688161569531,0.0009648956703856015,0.25744724384276196,0.006335754058454768,0.69287109375,0.7909347128588706,0.015433233202202246,0.8166701407171786,0.4090089201927185,0.06430590152740479,0.25744724384276196,0.3062104195705615,0.2739571916172281,0.059443379868753254,0.007838313082174864,0.0006256733374243595,0.2561544054187834,0.0061348112358246,0.7043304443359375,0.7914420226588845,0.012875547057774384,0.8178621651604772,0.40433216094970703,0.059882283210754395,0.2561544054187834,0.30413503339514136,0.272825388237834
16,0.00015358267949789963,0.059328424045816064,0.007527107536589028,0.000825260305148845,0.2566255180281587,0.006358202108458499,0.6833200454711914,0.7836553656961769,0.0148293912425288,0.8083485017996281,0.4059118330478668,0.06724640727043152,0.2566255180281587,0.30551694554742426,0.27463911211816594,0.059424444974865764,0.007760298445646185,0.0007499091484532983,0.25613933079876006,0.006132532631454524,0.6994094848632812,0.784434650093317,0.013969831044960301,0.8178621651604772,0.40433216094970703,0.059882283210754395,0.25613933079876006,0.30413503339514136,0.272825388237834
17,0.0001481753674101715,0.05957779142772779,0.007795050272761728,0.0010206761847229018,0.2560519562102854,0.006201086334840511,0.7006549835205078,0.7926399551797658,0.0160490237230988,0.8199501235503703,0.40829628705978394,0.06039544939994812,0.2560519562102854,0.30470887816045433,0.27202270523412153,0.05937221139902249,0.007774347199301701,0.000649335477362456,0.25606535049155354,0.006012578247464262,0.7108383178710938,0.8010468641296029,0.01285186770837754,0.8178621651604772,0.40433216094970703,0.059882283210754395,0.25606535049155354,0.30413503339514136,0.272825388237834
18,0.00014257792915650723,0.0598118846246507,0.00784859789746406,0.0017672966671575807,0.25508651143172756,0.006233524733033846,0.6987600326538086,0.7893594151828438,0.01770707352534373,0.8138954690657556,0.4097752273082733,0.06147128343582153,0.25508651143172756,0.30319257761584595,0.271801873575896,0.05936941097024828,0.007830668553651776,0.0004941224443655301,0.2561541001778096,0.006086074899940286,0.7045974731445312,0.7949754996225238,0.011739916175429244,0.8178621651604772,0.40433216094970703,0.059882283210754395,0.2561541001778096,0.30413503339514136,0.272825388237834
19,0.00013681245526846777,0.0598396160203265,0.007674523187233717,0.0012070331110720645,0.25749814813025296,0.006194605482960469,0.7064905166625977,0.79453843110241,0.015566162142931717,0.8184487351682037,0.4134942293167114,0.058377087116241455,0.25749814813025296,0.30621361621888354,0.2733631683513522,0.05932849401142448,0.007698160792642739,0.0007428567053011648,0.25599564239382744,0.005977589884423651,0.7125473022460938,0.8008654369041324,0.013915563111368101,0.8178621651604772,0.40433216094970703,0.059882283210754395,0.25599564239382744,0.30413503339514136,0.272825388237834
20,0.0001309016994374947,0.05960761627648026,0.007623037779922015,0.001404918450191417,0.25610248040175065,0.006162263438454829,0.7009181976318359,0.7945462833158672,0.015714266053691972,0.8191618588753045,0.4138306975364685,0.062383949756622314,0.25610248040175065,0.30423366773175076,0.27228384476620704,0.05930084845749661,0.007673605708987452,0.0007422595077741789,0.255981108173728,0.005989039585983846,0.711761474609375,0.8006588770076632,0.014096315317146946,0.8178621651604772,0.40433216094970703,0.059882283210754395,0.255981108173728,0.30413503339514136,0.272825388237834
21,0.00012486898871648543,0.059379044570960104,0.007605112592500518,0.0010514373852288372,0.2559303044108674,0.006215146397153148,0.7004299163818359,0.7898563714697957,0.014717555913193792,0.8139337198808789,0.40624889731407166,0.060265034437179565,0.2559303044108674,0.30462518229614943,0.27255103533389047,0.05922589427791536,0.00766702135297237,0.0005677854646819469,0.2560731659177691,0.00603461368882563,0.704986572265625,0.7941802181303501,0.01257658822578378,0.8178621651604772,0.40433216094970703,0.059882283210754395,0.2560731659177691,0.30413503339514136,0.272825388237834
