epoch,learning_rate,train_total,train_static_gate,train_motion_gate,train_proxy,train_smooth,train_alpha_mean,train_alpha_static,train_alpha_motion,train_oracle_static,train_static_fraction,train_motion_fraction,train_output_proxy,train_d2_proxy,train_d3_proxy,train_fusion_total,train_motion_aux,train_motion_bce,train_motion_dice,train_motion_precision,train_motion_recall,train_predicted_motion_fraction,val_total,val_static_gate,val_motion_gate,val_proxy,val_smooth,val_alpha_mean,val_alpha_static,val_alpha_motion,val_oracle_static,val_static_fraction,val_motion_fraction,val_output_proxy,val_d2_proxy,val_d3_proxy,val_fusion_total,val_motion_aux,val_motion_bce,val_motion_dice,val_motion_precision,val_motion_recall,val_predicted_motion_fraction
1,0.00019980267284282717,0.3875896647805348,0.06848453669226728,0.11993527377489954,0.2514330259873532,2.2642881525978533e-05,0.4916515350341797,0.4920671480940655,0.48886979336384684,0.8159119442570955,0.40911996364593506,0.08077090978622437,0.2514330259873532,0.289662990544457,0.25480394723126665,0.1787390074459836,1.0442532754968852,1.2327914333436638,0.8557151153218001,0.04375272788092843,0.29630222121204497,0.49994468688964844,0.3820016453973949,0.061519311158917844,0.11062097270041704,0.28562669921666384,0.00013812724773742957,0.48014068603515625,0.4823006964288652,0.4711484261788428,0.8104788959026337,0.39120912551879883,0.04594922065734863,0.28562669921666384,0.32273547910153866,0.29430019250139594,0.1739565203897655,1.0402256157249212,1.1729777455329895,0.9074734868481755,0.05176761768234428,1.0,0.5037384033203125
2,0.0001992114701314478,0.33136020560050383,0.0710602269100491,0.05005278196586005,0.2521416306262836,0.001532044480541117,0.4464292526245117,0.48840697575360537,0.29943659546552226,0.8193588624708354,0.40972933173179626,0.07832637429237366,0.2521416306262836,0.2895066403434612,0.2547563725383952,0.14653026542509906,0.9241496881004423,1.0276523081120104,0.8206470673903823,0.16606012888951227,0.9922012293245643,0.527069091796875,0.2776124682277441,0.04717316190362908,0.00911394834110979,0.28316155169159174,0.0023267539672815474,0.4541587829589844,0.5166522357612848,0.11602906277403235,0.8104788959026337,0.39120912551879883,0.04594922065734863,0.28316155169159174,0.32273547910153866,0.29430019250139594,0.1083857148187235,0.8461337452754378,0.8451341995969415,0.8471332965418696,0.19400238379603252,0.997381622903049,0.5083885192871094
3,0.00019822872507286888,0.20436189090833068,0.031582628755131736,0.008023141734611272,0.24445898045087233,0.0045873502435824776,0.5741252899169922,0.6406424720771611,0.08858832482655998,0.8176515053492039,0.41151541471481323,0.07939577102661133,0.24445898045087233,0.2898819977417588,0.25449181301519275,0.0845318698848132,0.5991500986274332,0.5412453752360307,0.6570548228919506,0.46208603208651766,0.9660960719920695,0.34673094749450684,0.20279268780723214,0.01371028833091259,0.0006535428470897386,0.27726838178932667,0.007371719497314189,0.5987930297851562,0.7019929643720388,0.01703715966141317,0.8104788959026337,0.39120912551879883,0.04594922065734863,0.27726838178932667,0.32273547910153866,0.29430019250139594,0.06956445425748825,0.6661411570385098,0.6099048049654812,0.7223775098100305,0.24100645736325532,0.9977014344185591,0.2729368209838867
4,0.0001968583161128631,0.14445843882276677,0.014672323664854048,0.0031486380286196436,0.23960930813336745,0.006962672085137456,0.6872882843017578,0.7819122564978898,0.03137530867570604,0.8148607760667801,0.41018107533454895,0.0839465856552124,0.23960930813336745,0.2887780705932528,0.2543483477202244,0.06423813158471603,0.4011015280848369,0.3633371816831641,0.4388658720999956,0.5327121353693656,0.9410948114236817,0.1853017807006836,0.21023229276761413,0.01840060777612962,0.00018970410681617977,0.27896537189371884,0.009379494804306887,0.5639839172363281,0.6845076782628894,0.006692105662295944,0.8104788959026337,0.39120912551879883,0.04594922065734863,0.27896537189371884,0.32273547910153866,0.29430019250139594,0.07438233005814254,0.6792498040013015,0.6782512231729925,0.6802483880892396,0.24289035354740918,0.9983208030462265,0.23465347290039062
5,0.00019510565162951537,0.1340518481156323,0.013950177826700383,0.003679292797926337,0.24085154151543975,0.006948140608074027,0.7078380584716797,0.8082798470277339,0.025190921711327974,0.8191187842749059,0.40170738101005554,0.08377861976623535,0.24085154151543975,0.28938178828684613,0.2548494489165023,0.06402961442654487,0.3501111639197916,0.32251498982077464,0.37770733796060085,0.5633939176332206,0.9340262515470386,0.15789833664894104,0.19985580863431096,0.015907519176835194,0.00023221378822313454,0.2782655954360962,0.009553368945489638,0.5781974792480469,0.7014690954238176,0.008273139277662267,0.8104788959026337,0.39120912551879883,0.04594922065734863,0.2782655954360962,0.32273547910153866,0.29430019250139594,0.0717722795670852,0.640417636372149,0.6293104724027216,0.6515247961506248,0.2567708676215261,0.9968011379241943,0.20957279205322266
6,0.00019297764858882514,0.12908531370339915,0.013347487754799658,0.0024008143011542415,0.23864381131716073,0.007010052209807327,0.7177047729492188,0.8143722834065557,0.022930886265385197,0.8197039300575852,0.41206154227256775,0.07944673299789429,0.23864381131716073,0.2876836390933022,0.25259332108544186,0.06234675792802591,0.3336927733034827,0.31158014660468325,0.35580540145747364,0.5679214707342908,0.9435003485996276,0.14615356922149658,0.2137024539988488,0.022667982062557712,0.00020804146501518517,0.27983519015833735,0.010488951826118864,0.5252418518066406,0.6549800829961896,0.008095887478702934,0.8104788959026337,0.39120912551879883,0.04594922065734863,0.27983519015833735,0.32273547910153866,0.29430019250139594,0.07884393143467605,0.6742925993166864,0.6847448046319187,0.6638403879478574,0.24777409830130637,0.9978738948702812,0.2194833755493164
7,0.00019048270524660196,0.12617317857802846,0.012559778877403005,0.0019308070611145922,0.24006778746843338,0.0071719127754477086,0.7077770233154297,0.8126097733620554,0.021966297663311707,0.8151615073438734,0.4068412482738495,0.08527842164039612,0.24006778746843338,0.290090917958878,0.25524344691075385,0.06161045988847036,0.3228135871468112,0.306845784340112,0.3387813908047974,0.581506856251508,0.9470487653743476,0.15083321928977966,0.21395495580509305,0.021080769307445735,0.00024216933229581628,0.2794142549391836,0.01075190756819211,0.5334892272949219,0.6663333410397172,0.009238804670530953,0.8104788959026337,0.39120912551879883,0.04594922065734863,0.2794142549391836,0.32273547910153866,0.29430019250139594,0.07719222456216812,0.6838136529549956,0.7069613127969205,0.660665987059474,0.24760792846791446,0.9976257467642426,0.21704339981079102
8,0.00018763066800438633,0.12456555559765548,0.012455699359634309,0.002639467666085693,0.2370510706678033,0.007108706759026973,0.7194366455078125,0.821915487293154,0.02490432960621547,0.8187859607860446,0.4145154654979706,0.08024483919143677,0.2370510706678033,0.285447412985377,0.25078904296969995,0.061256735541974194,0.316544093482662,0.29651193931204034,0.3365762475878,0.5821610965067521,0.9463932367507368,0.14161266386508942,0.21778204897418618,0.02439470739045646,0.00025974352394086964,0.2800703563261777,0.011225778667721897,0.5127525329589844,0.6483302246779203,0.009936529988408438,0.8104788959026337,0.39120912551879883,0.04594922065734863,0.2800703563261777,0.32273547910153866,0.29430019250139594,0.08065090875606984,0.6856556860730052,0.7090507259126753,0.6622606506571174,0.2489759095478803,0.9967254316434264,0.21717357635498047
9,0.0001844327925502015,0.12056801881408319,0.011694638003973523,0.0016354297777638749,0.23857942345784977,0.007150880490371492,0.7190132141113281,0.822767480276525,0.02132682895353355,0.8173677842132747,0.4080756604671478,0.08307856321334839,0.23857942345784977,0.2877235931227915,0.2531865570344962,0.06029974715784192,0.30134135438129306,0.2847372764299507,0.31794543261639774,0.6057900758460164,0.9517507355194539,0.14164821803569794,0.2202109880745411,0.027790658525191247,0.00023065300683811074,0.28081117826513946,0.011493789876112714,0.49507904052734375,0.6326131206005812,0.009296977099438664,0.8104788959026337,0.39120912551879883,0.04594922065734863,0.28081117826513946,0.32273547910153866,0.29430019250139594,0.08418315916787833,0.6801391327753663,0.7031522332690656,0.6571260308846831,0.2530916257528588,0.9956038687378168,0.2127246856689453
10,0.0001809016994374947,0.120866896759253,0.011667835262414883,0.0018720179070896847,0.23803794261766598,0.007047071361739654,0.7323589324951172,0.8296174076385796,0.023086881323251873,0.8234296871814877,0.41234704852104187,0.07565534114837646,0.23803794261766598,0.28771005087764934,0.25132738263346255,0.06028190423967317,0.30292495735920966,0.2816422501255147,0.32420766656287014,0.5982011698069982,0.9453419053461403,0.1302470713853836,0.22478971350938082,0.02804342782474123,0.00025019502118084347,0.2808253266848624,0.011580933263758197,0.4942474365234375,0.6328376261517406,0.01002109667933837,0.8104788959026337,0.39120912551879883,0.04594922065734863,0.2808253266848624,0.32273547910153866,0.29430019250139594,0.08444940019398928,0.7017015484161675,0.7402364470763132,0.6631666515022516,0.24704242532607168,0.9961490333080292,0.21813297271728516
11,0.0001770513242775789,0.12103418383048847,0.011389924709874322,0.0026107153585712695,0.24030733649851754,0.00711084882641444,0.7283706665039062,0.8249785611405969,0.025246602273909957,0.8182316687889397,0.40398159623146057,0.07792559266090393,0.24030733649851754,0.2900167998741381,0.2548255561850965,0.06082785926992074,0.3010316158179194,0.27994010767270083,0.3221231237985194,0.6038946789267357,0.9404915792838437,0.13222812861204147,0.22313658194616437,0.02850837734877132,0.00023840246674922128,0.280965092824772,0.011615979936323129,0.4944915771484375,0.6330234464257956,0.009912244098813972,0.8104788959026337,0.39120912551879883,0.04594922065734863,0.280965092824772,0.32273547910153866,0.29430019250139594,0.08493675733916461,0.6909991134889424,0.7238932712934911,0.6581049617379904,0.24897095223423094,0.9958488317206502,0.2143559455871582
