epoch,lr,train_loss,train_rec,train_grad,train_tv,train_motion,train_oracle,train_alpha_mean,train_alpha_var,train_psnr,val_loss,val_rec,val_grad,val_tv,val_motion,val_oracle,val_alpha_mean,val_alpha_var,val_ssim,val_ai_psnr,val_ai_mse,val_2dnr_psnr,val_2dnr_mse,val_3dnr_psnr,val_3dnr_mse,val_avg_50_50_psnr,val_avg_50_50_mse,val_oracle_pixelwise_psnr,val_oracle_pixelwise_mse,val_psnr
1,0.00019969481603957968,0.031136507786189517,0.004600800388725474,0.011907240475993603,0.045532788783311844,0.29623716096083325,0.7232061290740966,0.6695438639322917,0.0012929084400335948,43.103347024483256,0.03203896908865621,0.005419980016692231,0.014723476018601408,0.07172062809889515,0.3285812611381213,0.6993738045295079,0.6384200590352217,0.0020948726897283146,0.9925575559337934,41.97883328148318,1063.223296724442,38.88288467928056,2168.79919944854,41.85189139876627,1094.7593733469243,41.37243510560006,1222.543445638939,43.84175993777296,692.3597595310789,41.97883328148318
2,0.00019878114571891863,0.030802469624516864,0.004576878740141789,0.011899583710862013,0.07267747243245443,0.3198929544289907,0.7032123054563999,0.644715576171875,0.002437408765157064,43.17401495282415,0.03196009276434779,0.005371642267952363,0.014556293139078965,0.0727894143667072,0.3180784194419781,0.7026214644312858,0.6486860925952593,0.002284383913502097,0.993007471660773,42.17939114897651,1015.2399459154293,38.85736614909287,2181.5802702479095,41.86546929455113,1091.342033944472,41.36341969901515,1225.0839278388794,43.83415970881332,693.5724619664745,42.17939114897651
3,0.00019726462211936996,0.0307235157272468,0.004537810807911834,0.01178225814520071,0.07591019948323567,0.31932499948889015,0.7024431978662808,0.6444685872395833,0.0027482008934021,43.31468603883203,0.03206841857948651,0.0054092100627409915,0.014683186860444645,0.07768883270521959,0.3165154376377662,0.7045399638513724,0.6518840007483959,0.0026859574378856146,0.9929472369452318,42.08396411504274,1037.7945859166762,38.830268540688266,2195.2346957797,41.77472601305891,1114.3848798684803,41.28919697919865,1246.2010541167347,43.713134933204344,713.1720574156132,42.08396411504274
4,0.0001951545951132202,0.030782947912812234,0.004572658605272105,0.011854145201311136,0.0785840352376302,0.32177548126628003,0.7019082121054332,0.6430924479166666,0.0030821593602498375,43.22925495568249,0.03191749569959938,0.005365919939746769,0.014521017810329795,0.07780161925281087,0.3194868798057238,0.700765051941077,0.6461418442428112,0.0026811832212843,0.9929895443220933,42.152832364977755,1021.4675527815297,38.835676049506866,2192.5030553253396,41.59281289894396,1162.0545682000181,41.254615622873175,1256.1637309033563,43.72374559797287,711.4317652060092,42.152832364977755
5,0.00019246407371861736,0.030818304553007086,0.004598777214026389,0.011977931351090472,0.07975616455078124,0.3211007610708475,0.7017439929644267,0.6429296875,0.0031522202491760256,43.16446225969375,0.031694288435392085,0.00521501075127162,0.014088000756843636,0.07893983533916374,0.3231401251008113,0.699226572116216,0.6424852646887302,0.002656529100689416,0.9930049580832322,42.479508992452786,947.4513369342662,39.00764074323773,2107.384288515468,42.09171510274116,1035.9440537214941,41.56354091476728,1169.9134144798218,44.07338996318828,656.4003680195134,42.479508992452786
6,0.0001892096458946484,0.03074843610326449,0.004555345288633058,0.011873666912239665,0.08164510091145834,0.3203379781295856,0.7015123761196931,0.6432303873697917,0.0032509827613830568,43.24788247908613,0.03174545227084309,0.005238877608402011,0.01413931290153414,0.08398512117564678,0.319318280244867,0.7008175087471803,0.64707864249746,0.0031405109562911092,0.9930994528035323,42.400432702846786,964.8605322874806,38.94552940610353,2137.7399410820735,41.93260319297125,1074.6016248207206,41.46045474679971,1198.015225509206,43.961642196875,673.5092930963725,42.400432702846786
7,0.0001854113762710551,0.030711451365302008,0.004529399718740024,0.01177979178338622,0.08306788126627604,0.32086992365618544,0.7013416362305482,0.6434452311197917,0.003332533836364746,43.32216129102454,0.03183332781773061,0.005300350783121151,0.014347208683223775,0.08326817799049119,0.31715820742150147,0.7014259211719036,0.6491162687540054,0.002940818789647892,0.9932711812357108,42.309906508391435,985.1835720339295,38.87959294527193,2170.443663425724,41.8838624749253,1086.7297709106883,41.38775790601905,1218.2376618288713,43.86475883436803,688.702927011671,42.309906508391435
8,0.00018109268244311978,0.030648488788865506,0.004488191921360946,0.011666799118587126,0.0845165506998698,0.3206807656461994,0.7011478818953037,0.64357177734375,0.0034176238377888997,43.40785810148066,0.03172741884676119,0.0051996073336340485,0.014017749507911504,0.09904236923903227,0.3167275951554378,0.7019929595291614,0.6490965430935224,0.0039829208127533395,0.9931014863153299,42.47143137049424,949.2151805163473,38.97509782530518,2123.234829137789,41.96531663405803,1066.5375459692234,41.486132510851625,1190.9528309893597,43.98439850649632,669.9894460103189,42.47143137049424
9,0.00017628019059440304,0.03069965382106602,0.004516308013116941,0.011755419250112026,0.08461395263671875,0.32154658298939465,0.7011779147883256,0.6431815592447917,0.003426801363627116,43.34433790554198,0.03179600131697953,0.005276157104526646,0.014268223949087163,0.08587732389569283,0.32002897759278615,0.7002522207796573,0.6463977734247843,0.0030925502345780843,0.9931452552477519,42.33914023671634,978.574261000266,38.91073723043477,2154.9345743650997,41.771623883290616,1115.1811601779639,41.37649556386493,1221.4009566208138,43.8663730185576,688.4469977168953,42.33914023671634
10,0.00017100357133746817,0.030762633892397084,0.004563916720799171,0.011867318469254921,0.08577298482259114,0.32200063751389585,0.7009022042155266,0.6427213541666666,0.0035718178749084475,43.23403534734264,0.03169837256427854,0.005215604548963407,0.014083370737110575,0.08506750922339658,0.3203033600002527,0.6999031352500121,0.647249582161506,0.00306417654598287,0.993251825372378,42.467890203722305,949.9894708092239,38.95351461188816,2133.812972073322,42.08269285321301,1038.098412424094,41.513857397389074,1183.3741344022303,44.00937528378605,666.1473181690894,42.467890203722305
