scene,frame,method,mse,psnr,ssim,static_mse,moving_mae
scene_1,19,noisy,0.0001956868,37.084384,0.987479,,59.816048
scene_1,19,2dnr,0.0001956551,37.085089,0.987483,,59.812515
scene_1,19,dataset_3dnr,0.0001052715,39.776894,0.995004,,55.928905
scene_1,19,ghost3dnr,0.0014157271,28.490205,0.968506,,187.200974
scene_1,20,noisy,0.0002042543,36.898287,0.985953,,57.869747
scene_1,20,2dnr,0.0002042214,36.898987,0.985958,,57.866383
scene_1,20,dataset_3dnr,0.0001239267,39.068351,0.993580,,56.013359
scene_1,20,ghost3dnr,0.0015524261,28.089891,0.963718,,206.521286
scene_1,21,noisy,0.0002076320,36.827056,0.986280,,55.137253
scene_1,21,2dnr,0.0002075993,36.827741,0.986284,,55.133549
scene_1,21,dataset_3dnr,0.0001310222,38.826550,0.993507,,50.977398
scene_1,21,ghost3dnr,0.0028846823,25.399020,0.937125,,236.404724
scene_1,22,noisy,0.0001650941,37.822686,0.982093,,41.986912
scene_1,22,2dnr,0.0001650494,37.823860,0.982104,,41.974957
scene_1,22,dataset_3dnr,0.0001036614,39.843831,0.989719,,32.516735
scene_1,22,ghost3dnr,0.0041772514,23.791094,0.826756,,196.383209
scene_1,23,noisy,0.0001270353,38.960755,0.982984,,38.547047
scene_1,23,2dnr,0.0001269759,38.962786,0.982995,,38.532349
scene_1,23,dataset_3dnr,0.0000765678,41.159541,0.989406,,30.987230
scene_1,23,ghost3dnr,0.0041998946,23.767616,0.796719,,156.327423
scene_1,24,noisy,0.0001421628,38.472140,0.978717,,40.407616
scene_1,24,2dnr,0.0001421024,38.473985,0.978734,,40.392933
scene_1,24,dataset_3dnr,0.0000783048,41.062118,0.987963,,31.804129
scene_1,24,ghost3dnr,0.0027068402,25.675374,0.796019,,135.628967
scene_1,25,noisy,0.0001506042,38.221628,0.978296,,42.586914
scene_1,25,2dnr,0.0001505452,38.223331,0.978311,,42.573639
scene_1,25,dataset_3dnr,0.0000886064,40.525349,0.987692,,34.988899
scene_1,25,ghost3dnr,0.0049945582,23.015029,0.764367,,159.096420
scene_1,26,noisy,0.0001818773,37.402215,0.977637,,50.026505
scene_1,26,2dnr,0.0001818288,37.403373,0.977651,,50.020672
scene_1,26,dataset_3dnr,0.0001247842,39.038405,0.986674,,44.117073
scene_1,26,ghost3dnr,0.0240020938,16.197509,0.736600,,345.751648
scene_1,27,noisy,0.0002060381,36.860524,0.980934,,47.468143
scene_1,27,2dnr,0.0002060064,36.861193,0.980940,,47.462200
scene_1,27,dataset_3dnr,0.0001498327,38.243933,0.988851,,40.004543
scene_1,27,ghost3dnr,0.0901198387,10.451796,0.493158,,747.806702
scene_1,28,noisy,0.0002098144,36.781646,0.983850,,51.108784
scene_1,28,2dnr,0.0002097859,36.782238,0.983856,,51.105057
scene_1,28,dataset_3dnr,0.0001439507,38.417861,0.991417,,44.440174
scene_1,28,ghost3dnr,0.0977120847,10.100517,0.426245,,410.692108
scene_1,29,noisy,0.0002053655,36.874726,0.988294,,53.125259
scene_1,29,2dnr,0.0002053379,36.875310,0.988297,,53.121933
scene_1,29,dataset_3dnr,0.0001299816,38.861181,0.994754,,48.359180
scene_1,29,ghost3dnr,0.0920781642,10.358433,0.397286,,564.478821
scene_1,30,noisy,0.0001721822,37.640117,0.988295,,46.327282
scene_1,30,2dnr,0.0001721496,37.640940,0.988299,,46.323811
scene_1,30,dataset_3dnr,0.0000794146,41.000994,0.995594,,37.501686
scene_1,30,ghost3dnr,0.1069934443,9.706428,0.296407,,1064.167358
scene_1,31,noisy,0.0001724070,37.634450,0.988014,,61.166836
