scene,shard,frame,noisy_psnr,wt_psnr,wt_ssim
1,1,2,25.674711950178345,32.08310254527069,0.8446498891997017
1,1,3,25.65686016428178,32.04993617823448,0.8443255272622556
1,1,4,25.521311319951316,31.909450830405156,0.8389920682800995
1,1,5,25.388024418523408,31.522380688066,0.8296120849922313
1,1,6,25.053165093749797,30.712019477551337,0.8118352431349491
1,1,7,25.462763723957686,31.73903557701548,0.8343150579629062
1,1,8,25.18749524574059,31.23633578052428,0.8228997433366033
1,1,9,25.38279625164108,31.528871048164536,0.8292326029765245
1,1,10,25.37448284509804,31.542176075561535,0.8295347472072365
1,1,11,25.441678719725502,31.52068180273472,0.8270177196905855
1,1,12,25.401871536339044,31.473431186915548,0.823274062857057
1,1,13,25.21858306242903,31.35853343733707,0.82512063624781
1,1,14,25.36725417777464,31.520090444298837,0.8274665896489272
1,1,15,24.962403553151454,30.976933819321538,0.8120387037974632
1,1,16,25.011514803052528,31.191416555266656,0.8210381012977878
1,1,17,25.139809643791047,31.27317046421297,0.8245735368450273
1,1,18,25.356899514198616,31.47360701695113,0.8285872280308199
1,1,19,25.036169874429113,31.11090637774111,0.8232214469158782
1,1,20,25.32913885985776,31.259989751893844,0.8271655832665968
1,1,21,24.910422752840873,30.65731374630741,0.813254791001912
1,1,22,24.747423317506122,30.347652322337918,0.8075513238003694
1,1,23,25.1895771379227,30.853448084853095,0.8266472188985746
1,1,24,25.112905102667895,30.65919814985164,0.8296595975646696
1,1,25,24.614837754178893,29.846962527568927,0.8087190652234737
1,1,26,25.095853444737088,30.427346363181442,0.8278468203890742
1,1,27,25.077758097248754,30.261349026366076,0.8256193999723657
1,1,28,24.48148638407236,29.45346332295284,0.8037884353053408
1,1,29,25.074027472616645,30.257706171903074,0.8255281186328478
1,2,0,24.82727818266161,29.978056921679045,0.8242165974456682
1,2,1,24.75208082336252,29.96955885588452,0.8226876626062185
1,2,2,24.612281706131853,29.73217196944883,0.8176420405755483
1,2,3,24.60334929546206,29.665207680878236,0.8169081867915648
1,2,4,25.109774215756605,30.317771415822495,0.8290396667478036
1,2,5,25.1066776547335,30.36674211960476,0.8286161687649909
1,2,6,25.0231606472212,30.32735824881562,0.8313548409499001
1,2,7,25.02715992114183,30.309872826413326,0.8324704276116389
1,2,8,24.727188094482354,29.977988662754733,0.8239233202861674
1,2,9,25.193203975610846,30.540794193748496,0.8281326165466512
1,2,10,25.209884026471798,30.588092003262663,0.8209615998459935
1,2,11,24.75724519898156,30.27941130283907,0.8196620059119486
1,2,12,25.16151579357679,30.860807759617245,0.8289484151132911
1,2,13,24.525226694991666,29.57411533465788,0.796345432300685
1,2,14,24.74776928513944,30.33223907917266,0.8159132950262397
1,2,15,24.841440838896197,30.4815982777492,0.8218982982239702
1,2,16,25.13240604560191,30.87561491770552,0.8275811855312211
1,2,17,25.153414231556035,30.81220745330583,0.8209527662540037
1,2,18,25.12957351597359,30.8164227115031,0.817920319790062
1,2,19,24.58637120971403,30.110050871279874,0.797342980100226
1,2,20,24.87565215667488,30.736168542743684,0.8157980671941403
1,2,21,24.96690015553898,30.84232336582675,0.819315872155322
1,2,22,25.21497563954842,31.031367850695432,0.8200815290686544
1,2,23,24.97889244353143,30.857569914497788,0.8200128164695162
1,2,24,24.754287133108278,30.418119923618615,0.8093243951209831
1,2,25,24.87248762553235,30.605735646202426,0.8140287582536019
1,2,26,25.04534855507623,30.80473663285448,0.8222220056772775
1,2,27,25.00695962816301,30.544649610269428,0.8193859428995431
1,2,28,24.88964956610101,30.28323886919452,0.8124642318104861
1,2,29,25.024604246345994,30.39165068486213,0.8157448191987369
1,3,0,24.8953102540567,30.463624448607554,0.8123912171194564
