scene,frame,method,mse,psnr,ssim,static_mse,moving_mae
scene_5,0,noisy,0.0001140027,39.430849,0.987166,781.743469,
scene_5,0,2dnr,0.0001139596,39.432491,0.987174,780.167175,
scene_5,0,dataset_3dnr,0.0000487257,43.122421,0.994239,161.610306,
scene_5,0,ghost3dnr,0.0001140027,39.430849,0.987166,781.743469,
scene_5,1,noisy,0.0000992387,40.033188,0.989115,669.383911,51.143929
scene_5,1,2dnr,0.0000991920,40.035234,0.989125,667.636414,51.142105
scene_5,1,dataset_3dnr,0.0000419276,43.774998,0.994713,161.427383,43.202122
scene_5,1,ghost3dnr,0.0001379337,38.603295,0.985152,632.318787,104.817276
scene_5,2,noisy,0.0001124744,39.489464,0.986970,781.860291,62.231422
scene_5,2,2dnr,0.0001124305,39.491159,0.986979,780.251343,62.231094
scene_5,2,dataset_3dnr,0.0000407940,43.894040,0.994725,158.430038,56.812641
scene_5,2,ghost3dnr,0.0001135610,39.447708,0.988308,511.559326,92.291374
scene_5,3,noisy,0.0001134040,39.453716,0.986890,784.722168,63.070354
scene_5,3,2dnr,0.0001133597,39.455415,0.986898,783.125549,63.070580
scene_5,3,dataset_3dnr,0.0000400972,43.968857,0.994699,157.726028,54.628841
scene_5,3,ghost3dnr,0.0000980300,40.086412,0.990021,409.657654,90.683357
scene_5,4,noisy,0.0001122423,39.498433,0.986993,775.233032,62.563179
scene_5,4,2dnr,0.0001121976,39.500164,0.986999,773.627808,62.563606
scene_5,4,dataset_3dnr,0.0000402704,43.950140,0.994688,157.891800,54.750961
scene_5,4,ghost3dnr,0.0000875708,40.576408,0.991357,335.013580,89.204025
scene_5,5,noisy,0.0001122628,39.497640,0.987093,775.074890,61.759369
scene_5,5,2dnr,0.0001122178,39.499381,0.987102,773.474976,61.760082
scene_5,5,dataset_3dnr,0.0000400425,43.974791,0.994677,157.004486,54.044727
scene_5,5,ghost3dnr,0.0000841370,40.750132,0.991533,277.026550,90.703934
scene_5,6,noisy,0.0001125326,39.487218,0.986943,784.583130,62.377289
scene_5,6,2dnr,0.0001124884,39.488923,0.986950,782.961548,62.377632
scene_5,6,dataset_3dnr,0.0000404570,43.930067,0.994724,157.060120,54.752731
scene_5,6,ghost3dnr,0.0000855714,40.676712,0.991202,240.952545,93.347809
scene_5,7,noisy,0.0001126476,39.482780,0.987056,784.204529,62.864052
scene_5,7,2dnr,0.0001126039,39.484467,0.987063,782.592468,62.864300
scene_5,7,dataset_3dnr,0.0000404753,43.928104,0.994749,157.575089,55.243187
scene_5,7,ghost3dnr,0.0000937398,40.280761,0.990583,205.692032,93.714661
scene_5,8,noisy,0.0001136785,39.443216,0.986907,783.720398,62.572643
scene_5,8,2dnr,0.0001136332,39.444948,0.986915,782.098633,62.572659
scene_5,8,dataset_3dnr,0.0000400920,43.969418,0.994763,155.971954,54.612385
scene_5,8,ghost3dnr,0.0000924613,40.340398,0.991222,179.353455,91.401550
scene_5,9,noisy,0.0001127758,39.477842,0.987137,777.747498,62.597359
scene_5,9,2dnr,0.0001127315,39.479548,0.987147,776.155090,62.597549
scene_5,9,dataset_3dnr,0.0000399988,43.979530,0.994808,153.514252,55.039814
scene_5,9,ghost3dnr,0.0000922364,40.350979,0.990808,156.789612,91.497627
scene_5,10,noisy,0.0000987447,40.054861,0.988873,663.935181,59.308483
scene_5,10,2dnr,0.0000986960,40.057006,0.988881,662.097290,59.308052
scene_5,10,dataset_3dnr,0.0000391866,44.068630,0.994868,153.112381,54.219105
scene_5,10,ghost3dnr,0.0000914101,40.390060,0.991087,139.613159,89.828453
scene_5,11,noisy,0.0001024360,39.895474,0.988389,694.155640,60.245075
scene_5,11,2dnr,0.0001023885,39.897490,0.988398,692.439453,60.244904
scene_5,11,dataset_3dnr,0.0000399359,43.986369,0.994821,155.577789,55.096142
scene_5,11,ghost3dnr,0.0000928985,40.319915,0.991380,129.153091,90.687874
scene_5,12,noisy,0.0001131649,39.462884,0.987035,783.836121,62.654091
scene_5,12,2dnr,0.0001131205,39.464589,0.987043,782.247559,62.654022
scene_5,12,dataset_3dnr,0.0000401752,43.960419,0.994844,154.679321,54.795891
scene_5,12,ghost3dnr,0.0000948638,40.228993,0.991091,121.426270,91.982994
scene_5,13,noisy,0.0001133353,39.456349,0.986751,786.018982,62.753712
scene_5,13,2dnr,0.0001132906,39.458063,0.986758,784.410095,62.755005
scene_5,13,dataset_3dnr,0.0000403836,43.937950,0.994766,156.903610,55.091007
scene_5,13,ghost3dnr,0.0001094915,39.606194,0.991382,114.467224,102.078651
scene_5,14,noisy,0.0001134453,39.452136,0.987110,784.019409,63.020981
scene_5,14,2dnr,0.0001134019,39.453797,0.987118,782.430664,63.020660
scene_5,14,dataset_3dnr,0.0000402898,43.948052,0.994779,156.171173,54.936905
scene_5,14,ghost3dnr,0.0001134192,39.453135,0.990721,108.101646,101.961960
scene_5,15,noisy,0.0001133689,39.455061,0.986915,781.195007,62.779255
scene_5,15,2dnr,0.0001133238,39.456787,0.986925,779.580505,62.779575
scene_5,15,dataset_3dnr,0.0000402360,43.953852,0.994776,156.418625,54.944130
scene_5,15,ghost3dnr,0.0001128066,39.476653,0.991794,101.231461,101.554489
scene_5,16,noisy,0.0000990118,40.043131,0.989089,665.528687,58.902393
scene_5,16,2dnr,0.0000989626,40.045288,0.989095,663.734375,58.902260
scene_5,16,dataset_3dnr,0.0000392490,44.061718,0.994874,155.072922,54.401825
scene_5,16,ghost3dnr,0.0001001227,39.994673,0.991695,97.546982,94.042618
scene_5,17,noisy,0.0001130882,39.465825,0.987069,780.336853,61.612915
scene_5,17,2dnr,0.0001130436,39.467540,0.987078,778.710632,61.614075
scene_5,17,dataset_3dnr,0.0000409678,43.875569,0.994736,156.209473,55.514442
scene_5,17,ghost3dnr,0.0001029779,39.872559,0.991370,94.926712,96.600601
scene_5,18,noisy,0.0001125950,39.484809,0.987017,784.458191,62.363480
scene_5,18,2dnr,0.0001125508,39.486514,0.987024,782.868225,62.362877
scene_5,18,dataset_3dnr,0.0000402147,43.956156,0.994653,155.760254,54.672970
scene_5,18,ghost3dnr,0.0001076713,39.679001,0.990930,92.328316,95.249977
scene_5,19,noisy,0.0001125648,39.485973,0.987081,780.370605,62.636333
scene_5,19,2dnr,0.0001125203,39.487690,0.987089,778.793396,62.635662
scene_5,19,dataset_3dnr,0.0000398349,43.997362,0.994755,156.295166,54.621197
scene_5,19,ghost3dnr,0.0001002006,39.991296,0.991898,93.208786,91.590538
scene_5,20,noisy,0.0001128999,39.473064,0.986673,782.537720,62.548416
scene_5,20,2dnr,0.0001128549,39.474794,0.986680,780.919495,62.548450
scene_5,20,dataset_3dnr,0.0000402924,43.947768,0.994673,155.148376,55.373638
scene_5,20,ghost3dnr,0.0000955672,40.196910,0.991377,92.478188,89.885048
scene_5,21,noisy,0.0001124016,39.492277,0.986809,774.294128,62.431301
scene_5,21,2dnr,0.0001123571,39.493995,0.986818,772.683167,62.431744
scene_5,21,dataset_3dnr,0.0000401968,43.958081,0.994795,154.471741,55.295319
scene_5,21,ghost3dnr,0.0000959895,40.177761,0.991772,88.731026,89.661926
scene_5,22,noisy,0.0001125178,39.487786,0.987181,777.740295,62.303268
scene_5,22,2dnr,0.0001124729,39.489520,0.987188,776.122314,62.303284
scene_5,22,dataset_3dnr,0.0000402408,43.953339,0.994719,154.041428,54.747540
