scene,frame,method,mse,psnr,ssim,static_mse,moving_mae
scene_6,0,noisy,0.0000421084,43.756313,0.992247,451.534607,
scene_6,0,2dnr,0.0000420223,43.765206,0.992271,449.680145,
scene_6,0,dataset_3dnr,0.0000115883,49.359794,0.997702,71.291016,
scene_6,0,ghost3dnr,0.0000421084,43.756313,0.992247,451.534607,
scene_6,1,noisy,0.0000282348,45.492152,0.994863,297.630280,18.926367
scene_6,1,2dnr,0.0000281393,45.506869,0.994886,295.517578,18.919035
scene_6,1,dataset_3dnr,0.0000096145,50.170715,0.997996,68.086197,17.370951
scene_6,1,ghost3dnr,0.0000403047,43.946444,0.992505,365.598785,56.960938
scene_6,2,noisy,0.0000415372,43.815625,0.992312,450.263641,22.561968
scene_6,2,2dnr,0.0000414518,43.824570,0.992335,448.394165,22.553370
scene_6,2,dataset_3dnr,0.0000094415,50.249585,0.997928,63.485600,21.246326
scene_6,2,ghost3dnr,0.0000357879,44.462635,0.993216,293.223236,55.660572
scene_6,3,noisy,0.0000425202,43.714050,0.992260,456.064606,23.133499
scene_6,3,2dnr,0.0000424348,43.722776,0.992280,454.192627,23.128088
scene_6,3,dataset_3dnr,0.0000101087,49.953029,0.997746,64.661522,21.698521
scene_6,3,ghost3dnr,0.0000466678,43.309823,0.991999,239.276672,76.047012
scene_6,4,noisy,0.0000414976,43.819772,0.992254,444.396362,22.298775
scene_6,4,2dnr,0.0000414118,43.828763,0.992277,442.528381,22.292511
scene_6,4,dataset_3dnr,0.0000098943,50.046169,0.997739,64.509384,21.159740
scene_6,4,ghost3dnr,0.0000502502,42.988622,0.991897,189.806000,83.561050
scene_6,5,noisy,0.0000415260,43.816796,0.992468,448.161041,22.598303
scene_6,5,2dnr,0.0000414405,43.825754,0.992489,446.304108,22.590405
scene_6,5,dataset_3dnr,0.0000097830,50.095285,0.997855,64.728165,21.019247
scene_6,5,ghost3dnr,0.0000742335,41.293998,0.989930,155.310349,100.137115
scene_6,6,noisy,0.0000417610,43.792295,0.992318,449.077698,24.543875
scene_6,6,2dnr,0.0000416759,43.801154,0.992340,447.218170,24.538372
scene_6,6,dataset_3dnr,0.0000099704,50.012873,0.997883,67.049385,22.294901
