scene,frame,method,mse,psnr,ssim,static_mse,moving_mae
scene_8,0,noisy,0.0000420969,43.757502,0.992344,452.104370,
scene_8,0,2dnr,0.0000420108,43.766395,0.992364,450.263031,
scene_8,0,dataset_3dnr,0.0000115990,49.355807,0.997568,70.778229,
scene_8,0,ghost3dnr,0.0000420969,43.757502,0.992344,452.104370,
scene_8,1,noisy,0.0000282392,45.491476,0.994838,303.578308,18.757862
scene_8,1,2dnr,0.0000281443,45.506089,0.994863,301.497620,18.749107
scene_8,1,dataset_3dnr,0.0000096276,50.164809,0.997905,67.977585,17.373606
scene_8,1,ghost3dnr,0.0000403194,43.944860,0.992626,366.374512,56.883228
scene_8,2,noisy,0.0000415389,43.815455,0.992377,439.884705,22.960257
scene_8,2,2dnr,0.0000414526,43.824484,0.992401,438.022217,22.953514
scene_8,2,dataset_3dnr,0.0000094631,50.239683,0.998005,62.532631,21.392769
scene_8,2,ghost3dnr,0.0000358020,44.460928,0.993381,293.741608,55.928185
scene_8,3,noisy,0.0000425235,43.713710,0.992282,456.635468,23.487495
scene_8,3,2dnr,0.0000424375,43.722499,0.992305,454.779022,23.481573
scene_8,3,dataset_3dnr,0.0000101163,49.949764,0.997859,64.020630,21.821840
scene_8,3,ghost3dnr,0.0000467033,43.306520,0.991792,239.020508,76.814835
scene_8,4,noisy,0.0000414840,43.821191,0.992365,442.391327,22.397795
scene_8,4,2dnr,0.0000413975,43.830255,0.992386,440.530548,22.390842
scene_8,4,dataset_3dnr,0.0000098703,50.056710,0.997911,64.502007,21.030891
scene_8,4,ghost3dnr,0.0000490483,43.093764,0.991600,189.479446,83.974564
scene_8,5,noisy,0.0000415082,43.818664,0.992527,442.094635,23.491114
scene_8,5,2dnr,0.0000414223,43.827657,0.992545,440.244385,23.483074
scene_8,5,dataset_3dnr,0.0000098338,50.072765,0.997875,63.939060,21.694139
scene_8,5,ghost3dnr,0.0000760921,41.186606,0.988839,155.128906,101.325775
scene_8,6,noisy,0.0000417519,43.793233,0.992363,446.223511,24.523815
scene_8,6,2dnr,0.0000416664,43.802136,0.992386,444.395905,24.514757
scene_8,6,dataset_3dnr,0.0000099868,50.005726,0.997840,65.978432,22.270449
scene_8,6,ghost3dnr,0.0000971071,40.127492,0.986759,138.379730,107.051422
scene_8,7,noisy,0.0000418650,43.781494,0.992394,445.945831,23.117193
scene_8,7,2dnr,0.0000417793,43.790392,0.992417,444.095886,23.112242
scene_8,7,dataset_3dnr,0.0000101906,49.917999,0.997678,66.142647,21.641335
scene_8,7,ghost3dnr,0.0001218350,39.142279,0.984916,117.932678,112.031265
scene_8,8,noisy,0.0000425706,43.708906,0.992284,450.338440,23.554304
scene_8,8,2dnr,0.0000424849,43.717657,0.992308,448.499268,23.548971
scene_8,8,dataset_3dnr,0.0000102977,49.872581,0.997743,66.547783,21.899979
scene_8,8,ghost3dnr,0.0001296717,38.871549,0.984395,99.743256,113.885269
scene_8,9,noisy,0.0000418898,43.778913,0.992407,448.038544,23.122904
scene_8,9,2dnr,0.0000418043,43.787788,0.992431,446.191162,23.113302
scene_8,9,dataset_3dnr,0.0000097715,50.100390,0.997939,64.472404,21.531313
scene_8,9,ghost3dnr,0.0001506440,38.220480,0.984539,82.090805,117.188034
scene_8,10,noisy,0.0000277074,45.574050,0.994869,291.189453,19.122635
scene_8,10,2dnr,0.0000276115,45.589103,0.994893,289.052460,19.112328
scene_8,10,dataset_3dnr,0.0000094630,50.239714,0.998009,63.945190,19.385775
scene_8,10,ghost3dnr,0.0001837043,37.358806,0.982863,69.075539,123.508728
scene_8,11,noisy,0.0000316284,44.999232,0.994214,333.267395,20.115995
scene_8,11,2dnr,0.0000315368,45.011821,0.994240,331.238068,20.106398
scene_8,11,dataset_3dnr,0.0000100958,49.958596,0.997913,66.292618,19.481478
scene_8,11,ghost3dnr,0.0002304415,36.374393,0.982590,64.423676,133.562393
scene_8,12,noisy,0.0000421207,43.755045,0.992390,450.709503,23.258987
scene_8,12,2dnr,0.0000420356,43.763831,0.992414,448.869476,23.255054
scene_8,12,dataset_3dnr,0.0000102002,49.913911,0.997898,65.116798,21.764196
scene_8,12,ghost3dnr,0.0002861439,35.434155,0.980716,64.038879,141.224289
scene_8,13,noisy,0.0000423217,43.734374,0.992240,454.355591,24.748737
scene_8,13,2dnr,0.0000422371,43.743062,0.992263,452.530396,24.741165
scene_8,13,dataset_3dnr,0.0000101196,49.948365,0.997801,66.828354,22.220785
scene_8,13,ghost3dnr,0.0003455557,34.614820,0.978861,63.172981,147.437500
scene_8,14,noisy,0.0000424979,43.716321,0.992380,449.098541,23.672342
scene_8,14,2dnr,0.0000424128,43.725035,0.992402,447.267883,23.667385
scene_8,14,dataset_3dnr,0.0000106444,49.728783,0.997656,66.276901,22.074961
scene_8,14,ghost3dnr,0.0003927630,34.058695,0.978844,60.853321,155.312119
scene_8,15,noisy,0.0000421881,43.748103,0.992391,451.709930,22.871468
scene_8,15,2dnr,0.0000421036,43.756804,0.992415,449.880676,22.864876
scene_8,15,dataset_3dnr,0.0000105893,49.751325,0.997600,65.706161,21.369728
scene_8,15,ghost3dnr,0.0004479841,33.487374,0.976939,55.160114,166.997467
scene_8,16,noisy,0.0000281509,45.505070,0.994811,298.764191,19.949411
scene_8,16,2dnr,0.0000280569,45.519611,0.994835,296.672699,19.942308
scene_8,16,dataset_3dnr,0.0000080896,50.920736,0.998091,61.111885,18.423756
scene_8,16,ghost3dnr,0.0004735157,33.246656,0.977635,49.039211,159.346039
scene_8,17,noisy,0.0000422676,43.739924,0.992335,445.571411,24.550999
scene_8,17,2dnr,0.0000421835,43.748570,0.992357,443.729431,24.544592
scene_8,17,dataset_3dnr,0.0000099524,50.020706,0.997952,65.558861,22.262564
scene_8,17,ghost3dnr,0.0005114045,32.912354,0.975980,46.200970,169.102753
scene_8,18,noisy,0.0000418820,43.779723,0.992405,446.401764,22.480268
scene_8,18,2dnr,0.0000417960,43.788648,0.992424,444.563690,22.470997
scene_8,18,dataset_3dnr,0.0000099420,50.025265,0.997893,65.384445,20.619864
scene_8,18,ghost3dnr,0.0005633568,32.492165,0.973132,46.740307,198.580368
scene_8,19,noisy,0.0000419320,43.774544,0.992333,449.325714,22.620071
scene_8,19,2dnr,0.0000418462,43.783442,0.992354,447.451141,22.609184
scene_8,19,dataset_3dnr,0.0000095594,50.195693,0.997904,65.223999,20.527987
scene_8,19,ghost3dnr,0.0006577185,31.819600,0.971270,45.047318,205.615143
scene_8,20,noisy,0.0000422145,43.745381,0.992169,452.362976,22.298796
scene_8,20,2dnr,0.0000421293,43.754162,0.992192,450.522003,22.291666
scene_8,20,dataset_3dnr,0.0000095118,50.217385,0.997835,65.124802,20.331188
scene_8,20,ghost3dnr,0.0006964062,31.571374,0.970914,47.667576,204.175003
scene_8,21,noisy,0.0000415520,43.814082,0.992342,445.466583,24.442263
scene_8,21,2dnr,0.0000414673,43.822938,0.992362,443.634918,24.436251
scene_8,21,dataset_3dnr,0.0000097205,50.123106,0.997757,64.528046,22.103987
scene_8,21,ghost3dnr,0.0007562724,31.213217,0.969134,44.398624,190.647751
scene_8,22,noisy,0.0000415671,43.812500,0.992383,445.998718,22.058800
scene_8,22,2dnr,0.0000414812,43.821487,0.992406,444.141296,22.049845
scene_8,22,dataset_3dnr,0.0000100501,49.978295,0.997674,65.766090,20.138927
scene_8,22,ghost3dnr,0.0007575462,31.205909,0.967941,41.814312,196.804535
scene_8,23,noisy,0.0000260154,45.847694,0.995250,287.917847,17.754120
scene_8,23,2dnr,0.0000259200,45.863647,0.995273,285.798340,17.742765
scene_8,23,dataset_3dnr,0.0000079949,50.971862,0.998060,60.721348,17.168962
scene_8,23,ghost3dnr,0.0007723375,31.121929,0.967670,39.203476,198.136780
scene_8,24,noisy,0.0000425120,43.714889,0.992113,450.798920,24.759466
scene_8,24,2dnr,0.0000424270,43.723577,0.992134,448.986969,24.751894
scene_8,24,dataset_3dnr,0.0000096641,50.148372,0.997916,65.564140,21.387800
scene_8,24,ghost3dnr,0.0007539093,31.226809,0.966968,38.543789,179.517120
scene_8,25,noisy,0.0000419043,43.777413,0.992341,447.906097,22.155544
scene_8,25,2dnr,0.0000418200,43.786160,0.992365,446.091095,22.147726
scene_8,25,dataset_3dnr,0.0000102916,49.875176,0.997859,67.877541,20.414322
scene_8,25,ghost3dnr,0.0007317435,31.356411,0.966567,45.451466,192.736374
scene_8,26,noisy,0.0000436286,43.602291,0.992140,459.982819,22.068077
scene_8,26,2dnr,0.0000435438,43.610741,0.992164,458.161743,22.059099
