scene,frame,method,mse,psnr,ssim,static_mse,moving_mae
scene_2,17,noisy,0.0001134374,39.452439,0.986968,762.959106,62.897861
scene_2,17,2dnr,0.0001133933,39.454127,0.986977,761.177307,62.898277
scene_2,17,dataset_3dnr,0.0000421063,43.756525,0.994716,123.450256,58.839497
scene_2,17,ghost3dnr,0.0000665344,41.769541,0.995681,99.514153,91.744858
scene_2,18,noisy,0.0001130783,39.466209,0.986929,771.217285,61.809952
scene_2,18,2dnr,0.0001130342,39.467899,0.986938,769.448853,61.809364
scene_2,18,dataset_3dnr,0.0000405598,43.919047,0.994764,121.936264,54.223820
scene_2,18,ghost3dnr,0.0000672744,41.721504,0.995874,94.483635,91.222458
scene_2,19,noisy,0.0001132713,39.458801,0.987253,767.684875,61.588226
scene_2,19,2dnr,0.0001132265,39.460520,0.987259,765.887390,61.588104
scene_2,19,dataset_3dnr,0.0000420467,43.762677,0.994803,123.359863,55.995998
scene_2,19,ghost3dnr,0.0000855696,40.676804,0.995088,93.752403,102.209381
scene_2,20,noisy,0.0001136350,39.444878,0.986814,771.082336,60.744671
scene_2,20,2dnr,0.0001135905,39.446580,0.986822,769.252747,60.743565
scene_2,20,dataset_3dnr,0.0000409614,43.876253,0.994727,123.848656,53.004993
scene_2,20,ghost3dnr,0.0003278474,34.843282,0.992380,94.708931,110.471581
scene_2,21,noisy,0.0001130049,39.469029,0.986830,755.515320,60.435490
scene_2,21,2dnr,0.0001129606,39.470730,0.986839,753.677551,60.435078
scene_2,21,dataset_3dnr,0.0000411543,43.855849,0.994698,121.997208,53.947407
scene_2,21,ghost3dnr,0.0006122384,32.130794,0.990815,96.792702,132.988342
scene_2,22,noisy,0.0001130971,39.465484,0.987020,765.286133,59.880955
scene_2,22,2dnr,0.0001130522,39.467211,0.987029,763.458679,59.879688
scene_2,22,dataset_3dnr,0.0000421827,43.748651,0.994711,122.009956,54.918880
scene_2,22,ghost3dnr,0.0007812231,31.072249,0.987922,89.524841,119.523560
scene_2,23,noisy,0.0000975595,40.107305,0.989221,633.365112,57.158772
scene_2,23,2dnr,0.0000975100,40.109507,0.989228,631.264282,57.157841
scene_2,23,dataset_3dnr,0.0000404192,43.934119,0.994816,122.066170,52.855045
scene_2,23,ghost3dnr,0.0010428692,29.817702,0.986074,90.773361,129.212128
scene_2,24,noisy,0.0001139950,39.431143,0.986893,768.693970,59.255020
scene_2,24,2dnr,0.0001139516,39.432795,0.986902,766.934753,59.255184
scene_2,24,dataset_3dnr,0.0000428166,43.683875,0.994611,122.984901,53.884659
scene_2,24,ghost3dnr,0.0009281682,30.323733,0.983607,87.250397,119.276245
scene_2,25,noisy,0.0001133587,39.455451,0.987043,761.540405,60.153580
scene_2,25,2dnr,0.0001133148,39.457132,0.987050,759.780029,60.153736
scene_2,25,dataset_3dnr,0.0000419845,43.769114,0.994678,120.595055,52.969753
scene_2,25,ghost3dnr,0.0010012420,29.994610,0.982431,89.044838,124.541885
scene_2,26,noisy,0.0001151687,39.386654,0.986869,769.966309,60.411228
scene_2,26,2dnr,0.0001151247,39.388313,0.986878,768.162781,60.411133
scene_2,26,dataset_3dnr,0.0000433968,43.625426,0.994559,124.573135,55.574615
scene_2,26,ghost3dnr,0.0008752911,30.578475,0.980913,89.075928,119.457054
scene_2,27,noisy,0.0001129426,39.471421,0.986990,763.405396,59.289661
scene_2,27,2dnr,0.0001128978,39.473144,0.986997,761.629456,59.288960
scene_2,27,dataset_3dnr,0.0000414774,43.821882,0.994721,122.070221,51.769531
scene_2,27,ghost3dnr,0.0008556186,30.677198,0.979739,90.564995,116.770569
scene_2,28,noisy,0.0001144062,39.415503,0.986940,771.947876,59.797127
scene_2,28,2dnr,0.0001143624,39.417166,0.986947,770.169067,59.796127
scene_2,28,dataset_3dnr,0.0000436546,43.599701,0.994606,123.915764,55.811378
scene_2,28,ghost3dnr,0.0007913001,31.016588,0.977114,93.070168,119.133278
scene_2,29,noisy,0.0001134018,39.453802,0.986857,769.468750,59.189556
scene_2,29,2dnr,0.0001133574,39.455502,0.986866,767.683777,59.188503
scene_2,29,dataset_3dnr,0.0000424718,43.718995,0.994735,123.680412,52.957779
scene_2,29,ghost3dnr,0.0007140937,31.462448,0.975721,91.316139,101.409386
scene_2,30,noisy,0.0001137476,39.440577,0.987062,764.636414,59.005135
scene_2,30,2dnr,0.0001137044,39.442229,0.987070,762.860901,59.004250
scene_2,30,dataset_3dnr,0.0000421521,43.751812,0.994723,123.482140,52.441509
scene_2,30,ghost3dnr,0.0006538295,31.845355,0.974809,95.244995,118.913383
scene_2,31,noisy,0.0001130450,39.467487,0.987144,765.453857,57.770061
scene_2,31,2dnr,0.0001130018,39.469147,0.987151,763.674072,57.769344
scene_2,31,dataset_3dnr,0.0000439639,43.569036,0.994558,125.181725,52.436436
scene_2,31,ghost3dnr,0.0005626940,32.497277,0.972454,88.891129,120.085770
scene_2,32,noisy,0.0001131231,39.464486,0.987136,769.127502,57.495193
