scene,frame,method,mse,psnr,ssim,static_mse,moving_mae
scene_7,0,noisy,0.0000420402,43.763354,0.992086,464.639313,
scene_7,0,2dnr,0.0000419538,43.772289,0.992110,462.861633,
scene_7,0,dataset_3dnr,0.0000099273,50.031667,0.997864,73.818565,
scene_7,0,ghost3dnr,0.0000420402,43.763354,0.992086,464.639313,
scene_7,1,noisy,0.0000282078,45.496313,0.994731,308.063843,15.564746
scene_7,1,2dnr,0.0000281099,45.511405,0.994757,306.031708,15.550479
scene_7,1,dataset_3dnr,0.0000089413,50.485975,0.998021,72.068138,13.936195
scene_7,1,ghost3dnr,0.0000377765,44.227784,0.992974,370.622894,56.033596
scene_7,2,noisy,0.0000414439,43.825390,0.992179,461.402496,19.112043
scene_7,2,2dnr,0.0000413573,43.834474,0.992198,459.618103,19.100893
scene_7,2,dataset_3dnr,0.0000083373,50.789765,0.998076,66.730110,16.862585
scene_7,2,ghost3dnr,0.0000315608,45.008514,0.994061,294.699249,55.618862
scene_7,3,noisy,0.0000424649,43.719703,0.992113,469.200317,19.632950
scene_7,3,2dnr,0.0000423791,43.728487,0.992136,467.437836,19.623697
scene_7,3,dataset_3dnr,0.0000084348,50.739257,0.998050,67.804192,17.106993
scene_7,3,ghost3dnr,0.0000300809,45.217089,0.994160,235.009796,66.749779
scene_7,4,noisy,0.0000414197,43.827926,0.992116,455.503967,19.627329
scene_7,4,2dnr,0.0000413327,43.837067,0.992137,453.724426,19.617495
scene_7,4,dataset_3dnr,0.0000082698,50.825055,0.998028,67.456551,17.249350
scene_7,4,ghost3dnr,0.0000282904,45.483616,0.994458,188.870697,73.105217
scene_7,5,noisy,0.0000414530,43.824436,0.992369,459.953003,19.388748
scene_7,5,2dnr,0.0000413669,43.833471,0.992392,458.182922,19.375223
scene_7,5,dataset_3dnr,0.0000083752,50.770069,0.998041,68.302513,17.238081
scene_7,5,ghost3dnr,0.0000313220,45.041503,0.994151,153.304733,81.132721
scene_7,6,noisy,0.0000416894,43.799740,0.992179,461.614349,19.624266
scene_7,6,2dnr,0.0000416028,43.808770,0.992205,459.831055,19.615524
scene_7,6,dataset_3dnr,0.0000085205,50.695357,0.998000,69.334190,17.929636
scene_7,6,ghost3dnr,0.0000333857,44.764393,0.993838,135.534653,91.007645
scene_7,7,noisy,0.0000418199,43.786171,0.992215,462.041748,20.399025
scene_7,7,2dnr,0.0000417335,43.795154,0.992238,460.265686,20.392393
scene_7,7,dataset_3dnr,0.0000082912,50.813833,0.998059,67.855026,18.291389
scene_7,7,ghost3dnr,0.0000392570,44.060834,0.993079,111.403664,99.464661
scene_7,8,noisy,0.0000425091,43.715177,0.991991,468.929291,20.246962
scene_7,8,2dnr,0.0000424230,43.723984,0.992015,467.152771,20.234686
scene_7,8,dataset_3dnr,0.0000085578,50.676386,0.998017,68.995682,18.512714
scene_7,8,ghost3dnr,0.0000419400,43.773711,0.993107,94.946640,99.272331
scene_7,9,noisy,0.0000418121,43.786978,0.992180,460.608185,20.023466
scene_7,9,2dnr,0.0000417254,43.795991,0.992202,458.807709,20.010622
scene_7,9,dataset_3dnr,0.0000085451,50.682816,0.998099,67.824875,18.291498
scene_7,9,ghost3dnr,0.0000521385,42.828416,0.992085,79.656250,105.370514
scene_7,10,noisy,0.0000276298,45.586227,0.994704,303.538086,16.155642
scene_7,10,2dnr,0.0000275327,45.601517,0.994731,301.511261,16.140610
scene_7,10,dataset_3dnr,0.0000080131,50.961974,0.998135,66.735176,15.801704
scene_7,10,ghost3dnr,0.0000732843,41.349893,0.991961,67.769661,123.711731
scene_7,11,noisy,0.0000315599,45.008640,0.994044,345.346588,17.207680
scene_7,11,2dnr,0.0000314661,45.021567,0.994072,343.376373,17.192392
scene_7,11,dataset_3dnr,0.0000084142,50.749894,0.998105,68.251762,16.274012
scene_7,11,ghost3dnr,0.0001120200,39.507046,0.990477,62.795708,142.843109
scene_7,12,noisy,0.0000420495,43.762395,0.992138,465.372162,19.968019
scene_7,12,2dnr,0.0000419625,43.771391,0.992162,463.581940,19.957144
scene_7,12,dataset_3dnr,0.0000083959,50.759318,0.998069,67.213783,18.235640
scene_7,12,ghost3dnr,0.0001584340,38.001515,0.989111,61.246510,161.259003
scene_7,13,noisy,0.0000422909,43.737536,0.992033,467.767151,19.927433
scene_7,13,2dnr,0.0000422039,43.746473,0.992056,465.968445,19.914656
scene_7,13,dataset_3dnr,0.0000087062,50.601735,0.998027,69.791611,18.048986
scene_7,13,ghost3dnr,0.0002080228,36.818891,0.987781,55.431431,174.084106
scene_7,14,noisy,0.0000424467,43.721560,0.992224,466.740784,19.981741
scene_7,14,2dnr,0.0000423597,43.730474,0.992247,464.946381,19.968122
