epoch,learning_rate,train_total,train_static_gate,train_motion_gate,train_proxy,train_smooth,train_alpha_mean,train_alpha_static,train_alpha_motion,train_oracle_static,train_static_fraction,train_motion_fraction,train_output_proxy,train_d2_proxy,train_d3_proxy,train_fusion_total,train_motion_aux,train_motion_bce,train_motion_dice,train_motion_precision,train_motion_recall,train_predicted_motion_fraction,val_total,val_static_gate,val_motion_gate,val_proxy,val_smooth,val_alpha_mean,val_alpha_static,val_alpha_motion,val_oracle_static,val_static_fraction,val_motion_fraction,val_output_proxy,val_d2_proxy,val_d3_proxy,val_fusion_total,val_motion_aux,val_motion_bce,val_motion_dice,val_motion_precision,val_motion_recall,val_predicted_motion_fraction
1,0.00019980267284282717,0.3864036068553105,0.06420724876807071,0.1185129469668027,0.2678632989991456,2.4703938949174106e-05,0.4887228012084961,0.48907446453813463,0.4859198237536475,0.8095357839483768,0.4050564169883728,0.0634404718875885,0.2678632989991456,0.30542346474248916,0.27449781709583476,0.17703663068823516,1.0468348716385663,1.213356063934043,0.8803136793430895,0.003642600313469302,0.007886424733442254,0.49579524993896484,0.38636966422200203,0.07034029485657811,0.10440576309338212,0.26798661961220205,0.00018588994112178625,0.4663658142089844,0.46946545224636793,0.45821429416537285,0.8178621651604772,0.40433216094970703,0.059882283210754395,0.26798661961220205,0.30413503339514136,0.272825388237834,0.1761423610150814,1.0511365076527,1.2165650455281138,0.8857079623267055,0.35621419711969793,0.035995422576434066,0.49427032470703125
2,0.0001992114701314478,0.34940265968907624,0.0734050089813536,0.04800536022594315,0.26973385899327695,0.0016016541130738915,0.41687583923339844,0.4551457300549373,0.3034993021283299,0.8132267436012626,0.409732848405838,0.059354692697525024,0.26973385899327695,0.30556862003868446,0.27379398624179885,0.1513704781245906,0.9901608917862177,1.111958036199212,0.8683637471403927,0.10289605298430615,0.9568835926511383,0.5368385314941406,0.31594939064234495,0.06776821869425476,0.021041369094746187,0.26767252618446946,0.0023707934542471776,0.4202461242675781,0.482747589237988,0.19770481111481786,0.8178621651604772,0.40433216094970703,0.059882283210754395,0.26767252618446946,0.30413503339514136,0.272825388237834,0.13184711756184697,0.9205113565549254,0.9965292904525995,0.8444934226572514,0.12820132021442987,0.9872083030641079,0.5457992553710938
3,0.00019822872507286888,0.2900831864099018,0.057717147894436494,0.011863558163440757,0.26643391844118014,0.0025131104432603024,0.4291267395019531,0.4978799168020487,0.12821295243338682,0.8118154830299318,0.41301262378692627,0.06383109092712402,0.26643391844118014,0.3048484497703612,0.27355321909999475,0.11696084274444729,0.8656116982456297,0.9109378976281732,0.8202854944393039,0.2075453077641214,0.9843463262077421,0.5390205383300781,0.2775453510694206,0.05415481945965439,0.005964866391877877,0.2652971725910902,0.002388795730439597,0.4432868957519531,0.5054879821836948,0.08197245915653184,0.8178621651604772,0.40433216094970703,0.059882283210754395,0.2652971725910902,0.30413503339514136,0.272825388237834,0.11022057593800128,0.836623870767653,0.857080071233213,0.8161676656454802,0.2708306408021599,0.9898092662915587,0.5241928100585938
4,0.0001968583161128631,0.2622475356911309,0.04630707874457585,0.004440774052454799,0.2638600437785499,0.002861053437300143,0.45398426055908203,0.5230738238897175,0.06053007427181001,0.8096246770583093,0.41223403811454773,0.06376504898071289,0.2638600437785499,0.30467747611692175,0.27332137804478407,0.10132808572961949,0.8045972315594554,0.8150535910390317,0.7941408669576049,0.3095845950592775,0.9823429747484624,0.502589225769043,0.2286739160772413,0.031123631313676015,0.0033893758090925985,0.2610195248853415,0.003896670761605492,0.5265274047851562,0.5945631293579936,0.04499615667737089,0.8178621651604772,0.40433216094970703,0.059882283210754395,0.2610195248853415,0.30413503339514136,0.272825388237834,0.08506119181402028,0.7180636133998632,0.6656910562887788,0.7704361658543348,0.35632898402400315,0.9757379656657577,0.407196044921875
5,0.00019510565162951537,0.18304467474808916,0.016634095136396354,0.0027892860778919726,0.25821203336818144,0.006202920814757817,0.6452751159667969,0.7398182342294604,0.03093193559516294,0.8138684327714145,0.4063625931739807,0.06569969654083252,0.25821203336818144,0.30454217875376344,0.2731570164905861,0.0697331747651333,0.5665574884042144,0.5009472653473495,0.6321677120868117,0.42537170398281887,0.9278281684964895,0.24882888793945312,0.16399151552468538,0.012742197090119589,0.002179859080570168,0.25710736750625074,0.006800473252951633,0.7077484130859375,0.8107478972524405,0.022063777709263377,0.8178621651604772,0.40433216094970703,0.059882283210754395,0.25710736750625074,0.30413503339514136,0.272825388237834,0.06532160635106266,0.49334953213110566,0.43733990436885506,0.5493591586127877,0.43767475453205407,0.9012263286858797,0.16358184814453125
6,0.00019297764858882514,0.16182254522573203,0.013745816131631727,0.0018203695746166204,0.25750153994886205,0.007294032830031938,0.6953763961791992,0.8106848313473165,0.019189344238384365,0.813224357785657,0.4104457497596741,0.060876160860061646,0.25750153994886205,0.30437100474955514,0.2734585986472666,0.06622924984549172,0.4779664685484022,0.43203052013996057,0.5239024166949093,0.4395728587987833,0.9063625801354647,0.16041088104248047,0.15677303238771856,0.012619708744750824,0.001997355980165594,0.2569737683515996,0.00695020428247517,0.715667724609375,0.8289567343890667,0.021915976685704663,0.8178621651604772,0.40433216094970703,0.059882283210754395,0.2569737683515996,0.30413503339514136,0.272825388237834,0.0650826430064626,0.4584519397467375,0.41877751995343715,0.4981263615190983,0.45985317626036704,0.888411458581686,0.14049530029296875
7,0.00019048270524660196,0.1564301325706765,0.013087805284158094,0.0018973002281779117,0.25717920856550336,0.007628514109455864,0.6778640747070312,0.8100786039140075,0.020879665386246415,0.8084199966397136,0.4078451097011566,0.06779363751411438,0.25717920856550336,0.30484231578884646,0.27402174030430615,0.06554858278832398,0.4544077400350943,0.427130787022179,0.48168469523079693,0.46439728885889053,0.9027783331694081,0.16078662872314453,0.15196261915843934,0.012275216213311069,0.0012523573002454214,0.2572603339795023,0.007750713106361218,0.6799240112304688,0.8037580288946629,0.0172545004170388,0.8178621651604772,0.40433216094970703,0.059882283210754395,0.2572603339795023,0.30413503339514136,0.272825388237834,0.06443096965085715,0.4376582419499755,0.3793957276502624,0.4959207605570555,0.4323870432563126,0.9345067972317338,0.15239286422729492
8,0.00018763066800438633,0.1506476801878307,0.01268387208074273,0.0019316921197400916,0.2570181110058911,0.007426222155118012,0.6905031204223633,0.8176044370047748,0.02227513752586674,0.8134275674819946,0.41027122735977173,0.0643334686756134,0.2570181110058911,0.30390899744816124,0.272766339010559,0.06512760331679601,0.4276003774139099,0.38075455737271113,0.47444619867019355,0.46181162644643337,0.912959722802043,0.1491250991821289,0.14798896957654506,0.011510473050293513,0.0014150604347378248,0.256957575911656,0.007567532520624809,0.6911087036132812,0.8123024282976985,0.02017903923842823,0.8178621651604772,0.40433216094970703,0.059882283210754395,0.256957575911656,0.30413503339514136,0.272825388237834,0.06368519458919764,0.42151886504143476,0.3655976598383859,0.4774400684982538,0.4427016763947904,0.9307662397623062,0.14317703247070312
9,0.0001844327925502015,0.1487483837408945,0.01213102126166632,0.0016943600522836277,0.2575756176956929,0.007604997030284721,0.6824789047241211,0.8131118242163211,0.021947271659882972,0.8117260651197284,0.4062715172767639,0.06636735796928406,0.2575756176956929,0.3052017509471625,0.27454705216223374,0.06456937550683506,0.4208950330503285,0.3797046953914105,0.46208536927588284,0.46334238024428487,0.9192909523844719,0.1497107744216919,0.14569862966891378,0.011032133821572643,0.0016291263868879469,0.2566970328334719,0.007341241609537974,0.7022552490234375,0.8211339507251978,0.02382795936136972,0.8178621651604772,0.40433216094970703,0.059882283210754395,0.2566970328334719,0.30413503339514136,0.272825388237834,0.06325951748294756,0.4121955521404743,0.3630595203721896,0.46133158542215824,0.4649679916910827,0.9153379295021296,0.13151001930236816
10,0.0001809016994374947,0.1458468937780708,0.011767869109462481,0.0018114835797291562,0.25820789573481306,0.007478967563656624,0.7010822296142578,0.8195728315040469,0.0239198424078495,0.8161977087147534,0.40897849202156067,0.05823126435279846,0.25820789573481306,0.30583405308425426,0.273769460094627,0.06438998052908573,0.40728455677162856,0.34646856125618797,0.46810055361129344,0.4557868751871865,0.923868155805394,0.13242703676223755,0.14298435393720865,0.010856754903215915,0.0014882823104471754,0.25668212166056037,0.00747980172309326,0.6977310180664062,0.8183288499712944,0.022876705683302134,0.8178621651604772,0.40433216094970703,0.059882283210754395,0.25668212166056037,0.30413503339514136,0.272825388237834,0.0630121193244122,0.39986116252839565,0.34700073313433677,0.452721593901515,0.4570238832384348,0.9317572303116322,0.13363206386566162
11,0.0001770513242775789,0.14395448670256883,0.011250011028096196,0.0023387305708411077,0.2566435730550438,0.007640516871106229,0.6862039566040039,0.8143235847819597,0.02484238471970457,0.8137555695138872,0.40604540705680847,0.062333911657333374,0.2566435730550438,0.3044775218004361,0.2727105658268556,0.06382449675584212,0.4006499440292828,0.3484002305249305,0.4528996623121202,0.4621528309653513,0.9258481053402647,0.13811853528022766,0.14140190440230072,0.010624684153299313,0.0015466234244740917,0.25655792001634836,0.007375790279184002,0.7042465209960938,0.8233593814074993,0.023987431020941585,0.8178621651604772,0.40433216094970703,0.059882283210754395,0.25655792001634836,0.30413503339514136,0.272825388237834,0.06278333865338936,0.3930928120389581,0.3422609454137273,0.44392467848956585,0.46285556978546083,0.9330555191263556,0.1309947967529297
