scene,frame,method,mse,psnr,ssim,static_mse,moving_mae
scene_3,0,noisy,0.0001193782,39.230751,0.987363,778.309509,
scene_3,0,2dnr,0.0001193361,39.232283,0.987373,776.525818,
scene_3,0,dataset_3dnr,0.0000668699,41.747696,0.993464,122.684601,
scene_3,0,ghost3dnr,0.0001193782,39.230751,0.987363,778.309509,
scene_3,1,noisy,0.0001062100,39.738347,0.989238,665.156738,45.050636
scene_3,1,2dnr,0.0001061658,39.740152,0.989245,663.176147,45.046173
scene_3,1,dataset_3dnr,0.0000528154,42.772391,0.994319,123.295036,39.752209
scene_3,1,ghost3dnr,0.0002322798,36.339885,0.982087,623.956055,109.456261
scene_3,2,noisy,0.0001200535,39.206250,0.987359,777.710938,49.774742
scene_3,2,2dnr,0.0001200118,39.207761,0.987365,775.878418,49.771206
scene_3,2,dataset_3dnr,0.0000537939,42.692670,0.994147,122.194351,46.966698
scene_3,2,ghost3dnr,0.0002200695,36.574401,0.983822,502.661285,111.683289
scene_3,3,noisy,0.0001202534,39.199027,0.987201,779.598572,51.436481
scene_3,3,2dnr,0.0001202141,39.200445,0.987206,777.861023,51.434914
scene_3,3,dataset_3dnr,0.0000499421,43.015330,0.994207,119.396690,45.659981
scene_3,3,ghost3dnr,0.0011512134,29.388442,0.973375,401.401733,181.154129
scene_3,4,noisy,0.0001185594,39.260639,0.987061,770.425781,54.314335
scene_3,4,2dnr,0.0001185177,39.262168,0.987068,768.632874,54.312077
scene_3,4,dataset_3dnr,0.0000472495,43.256028,0.994120,121.343010,47.600956
scene_3,4,ghost3dnr,0.0014081708,28.513447,0.972158,331.374115,177.440018
scene_3,5,noisy,0.0001181474,39.275758,0.987303,763.637939,59.786274
scene_3,5,2dnr,0.0001181079,39.277210,0.987309,761.838013,59.786999
scene_3,5,dataset_3dnr,0.0000456308,43.407419,0.994261,119.250610,52.529423
scene_3,5,ghost3dnr,0.0014572856,28.364553,0.966737,270.595795,133.316925
scene_3,6,noisy,0.0001181470,39.275773,0.987239,776.552368,61.220757
scene_3,6,2dnr,0.0001181059,39.277283,0.987246,774.707886,61.219681
scene_3,6,dataset_3dnr,0.0000453460,43.434612,0.994295,120.217171,53.632248
scene_3,6,ghost3dnr,0.0012905886,28.892122,0.972459,236.187744,124.705727
scene_3,7,noisy,0.0001179443,39.283232,0.987289,770.674316,61.748821
scene_3,7,2dnr,0.0001179041,39.284712,0.987297,768.904785,61.747841
scene_3,7,dataset_3dnr,0.0000443894,43.527212,0.994298,119.795685,53.683769
scene_3,7,ghost3dnr,0.0011321630,29.460910,0.968937,198.546783,114.412987
scene_3,8,noisy,0.0001190252,39.243612,0.986943,780.577759,62.759708
scene_3,8,2dnr,0.0001189846,39.245092,0.986951,778.776733,62.759602
scene_3,8,dataset_3dnr,0.0000446083,43.505844,0.994210,122.677292,54.438038
scene_3,8,ghost3dnr,0.0009325105,30.303463,0.974318,176.175171,106.607552
scene_3,9,noisy,0.0001181174,39.276862,0.987161,775.150818,63.508595
scene_3,9,2dnr,0.0001180763,39.278374,0.987166,773.384766,63.508442
scene_3,9,dataset_3dnr,0.0000443569,43.530385,0.994312,121.389076,55.221989
scene_3,9,ghost3dnr,0.0007666429,31.154069,0.971772,152.229385,91.487976
scene_3,10,noisy,0.0001037423,39.840439,0.988815,664.326538,59.365654
scene_3,10,2dnr,0.0001036985,39.842274,0.988823,662.331299,59.365608
scene_3,10,dataset_3dnr,0.0000436361,43.601541,0.994241,120.927475,54.361874
scene_3,10,ghost3dnr,0.0005802299,32.363999,0.977305,138.123047,88.165070
scene_3,11,noisy,0.0001073776,39.690862,0.988520,692.446655,60.351601
scene_3,11,2dnr,0.0001073347,39.692600,0.988528,690.527771,60.352295
scene_3,11,dataset_3dnr,0.0000441458,43.551103,0.994332,120.995667,54.539326
scene_3,11,ghost3dnr,0.0003386735,34.702188,0.981746,125.226967,87.909569
scene_3,12,noisy,0.0001179598,39.282659,0.987232,773.323486,62.912472
scene_3,12,2dnr,0.0001179192,39.284153,0.987240,771.493530,62.912575
scene_3,12,dataset_3dnr,0.0000453282,43.436313,0.994201,121.989037,56.103760
