scene,frame,method,mse,psnr,ssim,static_mse,moving_mae
scene_4,17,noisy,0.0001136890,39.442817,0.986982,773.079224,59.930725
scene_4,17,2dnr,0.0001136451,39.444491,0.986990,771.301636,59.930508
scene_4,17,dataset_3dnr,0.0000403890,43.937372,0.994757,123.168953,52.906639
scene_4,17,ghost3dnr,0.0001367583,38.640463,0.989274,90.767387,89.458199
scene_4,18,noisy,0.0001128963,39.473204,0.986916,767.262085,59.718586
scene_4,18,2dnr,0.0001128521,39.474905,0.986924,765.526245,59.718033
scene_4,18,dataset_3dnr,0.0000404378,43.932126,0.994820,122.800583,52.985157
scene_4,18,ghost3dnr,0.0001345884,38.709924,0.988425,88.126518,88.665833
scene_4,19,noisy,0.0001132241,39.460611,0.987038,767.584656,60.212418
scene_4,19,2dnr,0.0001131805,39.462283,0.987047,765.793457,60.212635
scene_4,19,dataset_3dnr,0.0000408245,43.890796,0.994697,123.357246,53.075199
scene_4,19,ghost3dnr,0.0001530358,38.152069,0.987414,86.866447,93.018288
scene_4,20,noisy,0.0001133566,39.455532,0.986899,774.625122,55.565655
scene_4,20,2dnr,0.0001133120,39.457240,0.986908,772.859375,55.564701
scene_4,20,dataset_3dnr,0.0000412983,43.840683,0.994704,124.133575,49.395439
scene_4,20,ghost3dnr,0.0001643631,37.841956,0.986574,88.498817,91.349808
scene_4,21,noisy,0.0001127236,39.479853,0.986990,763.418518,51.017395
scene_4,21,2dnr,0.0001126784,39.481594,0.987000,761.643372,51.013939
scene_4,21,dataset_3dnr,0.0000422166,43.745169,0.994758,123.405823,45.106037
scene_4,21,ghost3dnr,0.0001850938,37.326081,0.985767,85.317238,93.774925
scene_4,22,noisy,0.0001119381,39.510221,0.987226,769.650696,47.489876
scene_4,22,2dnr,0.0001118920,39.512010,0.987234,767.779175,47.482162
scene_4,22,dataset_3dnr,0.0000413384,43.836461,0.994942,121.262863,40.795826
scene_4,22,ghost3dnr,0.0001862841,37.298243,0.982403,83.848343,97.520035
scene_4,23,noisy,0.0000948854,40.228006,0.989484,637.411377,42.718697
scene_4,23,2dnr,0.0000948338,40.230369,0.989496,635.352051,42.708519
scene_4,23,dataset_3dnr,0.0000395519,44.028330,0.995100,119.787865,38.692501
scene_4,23,ghost3dnr,0.0001912506,37.183971,0.980403,83.410225,97.671928
scene_4,24,noisy,0.0001101608,39.579729,0.987268,773.036743,45.089272
scene_4,24,2dnr,0.0001101124,39.581637,0.987278,771.247559,45.081310
scene_4,24,dataset_3dnr,0.0000414887,43.820697,0.994909,121.765373,38.985062
scene_4,24,ghost3dnr,0.0001887999,37.239984,0.977445,80.808716,97.473808
scene_4,25,noisy,0.0001088390,39.632154,0.987437,764.407959,45.253658
scene_4,25,2dnr,0.0001087893,39.634138,0.987446,762.645386,45.247032
scene_4,25,dataset_3dnr,0.0000416645,43.802340,0.994893,119.557335,39.538052
scene_4,25,ghost3dnr,0.0003169241,34.990447,0.975049,82.260559,112.691345
scene_4,26,noisy,0.0001111942,39.539180,0.987306,775.222107,45.985256
scene_4,26,2dnr,0.0001111440,39.541141,0.987317,773.439697,45.979366
scene_4,26,dataset_3dnr,0.0000428294,43.682577,0.994907,121.916405,40.108879
scene_4,26,ghost3dnr,0.0009969954,30.013069,0.966527,82.439758,136.405060
scene_4,27,noisy,0.0001109226,39.549801,0.987335,772.620422,44.324181
scene_4,27,2dnr,0.0001108723,39.551768,0.987344,770.809998,44.318890
scene_4,27,dataset_3dnr,0.0000470429,43.275056,0.994886,120.878151,39.087185
scene_4,27,ghost3dnr,0.0011945188,29.228070,0.950910,84.897751,165.179688
scene_4,28,noisy,0.0001151759,39.386382,0.987355,784.251099,45.095341
scene_4,28,2dnr,0.0001151291,39.388148,0.987365,782.465759,45.091644
