gain_label,gain_x,plane,signal_median_raw12,black_floor_variance_raw12_sq,black_floor_std_raw12,effective_signal_slope,effective_prnu_robust_rms,shading_rms,flat_total_temporal_rms_raw12,signal_dependent_excess_rms_raw12,binned_r2,valid_pixels
100,1.0,0,881.079833984375,1.4965986013412476,1.2233554681045276,0.15224000601439933,0.04092244431376457,0.42394137382507324,11.394442866900967,11.327904808272176,0.9916468094169791,518227
100,1.0,1,423.2798767089844,1.5,1.224744871391589,0.16830181743773048,0.042129263281822205,0.421917587518692,8.421203699764641,8.329829229502595,0.9935583745034908,518159
100,1.0,2,493.3998565673828,1.5,1.224744871391589,0.16668036730893487,0.03844745457172394,0.4332375228404999,9.013878611862628,8.927905074185762,0.9926909928666426,518150
100,1.0,3,874.8399047851562,1.4965986013412476,1.2233554681045276,0.1526210513937162,0.04069213569164276,0.4242083430290222,11.371136019545277,11.304159504041829,0.991714029238324,518233
12800,128.0,0,875.4798583984375,111.27083587646484,10.548499223892698,22.704161008718287,0.06975959986448288,0.4358828365802765,140.1995752434275,139.76703299749443,0.9810433613199977,511970
12800,128.0,1,408.84014892578125,112.83460998535156,10.622363672241296,24.39370367306273,0.09607050567865372,0.4427999258041382,99.7617302979013,99.13691722528341,0.9836989779442185,510560
12800,128.0,2,477.60003662109375,112.19855499267578,10.592381931967699,24.386121939357437,0.08720410615205765,0.4540930986404419,107.82296597751102,107.25529477581183,0.9829951947019729,510531
12800,128.0,3,869.23974609375,111.34651947021484,10.55208602458371,22.800954233619947,0.0702904760837555,0.43591824173927307,139.98530893900974,139.55244192941203,0.9819041111116577,512139
1600,16.0,0,935.080078125,3.6666667461395264,1.9148542362643497,2.5416503163385373,0.04353858157992363,0.4227292537689209,48.05294931114379,48.012266835472786,0.9965717934356328,513928
1600,16.0,1,450.15985107421875,3.7074830532073975,1.925482550740826,2.828950438499767,0.04834297299385071,0.4217686951160431,35.23374445112065,35.17717600614348,0.9957226007388669,513085
1600,16.0,2,523.199951171875,3.7074830532073975,1.925482550740826,2.790026317767259,0.044061001390218735,0.4333136975765228,37.65835056381918,37.60563458177983,0.9961492185396231,513021
1600,16.0,3,928.6398620605469,3.6666667461395264,1.9148542362643497,2.5480027274470807,0.0433720238506794,0.4228360652923584,47.95249877400139,47.91086289402355,0.99683056597607,513810
200,2.0,0,858.47998046875,3.290816307067871,1.814060723092772,0.29354433227200954,0.042310360819101334,0.4226394295692444,15.664911915872086,15.555966752394422,0.9923339603423025,517958
200,2.0,1,412.9600524902344,3.3333332538604736,1.8257418365860145,0.3256383114149436,0.043739959597587585,0.420645147562027,11.594700859129368,11.445449359583295,0.993888609096504,517827
200,2.0,2,480.8999786376953,3.3333332538604736,1.8257418365860145,0.32245049339831683,0.040400587022304535,0.431759774684906,12.400968181590512,12.26007883821314,0.9933857997016216,517830
200,2.0,3,852.68017578125,3.290816307067871,1.814060723092772,0.29455126276758214,0.04226576164364815,0.42278751730918884,15.644651216768494,15.535673854646861,0.9927110347557514,517936
25600,256.0,0,890.5199584960938,350.4834289550781,18.721202657817635,49.85971675588172,0.09112712740898132,0.4538074731826782,211.1134266366069,210.20166853542844,0.9488166512405759,511023
25600,256.0,1,406.080078125,355.5208435058594,18.85526036696018,50.498981624466474,0.12680858373641968,0.4607956111431122,143.77997649403412,142.4139749634585,0.9527229243114488,510223
25600,256.0,2,476.3199157714844,353.3116760253906,18.796586818499538,51.22812751899402,0.11596342921257019,0.47309762239456177,156.9246653203017,155.68628625072887,0.9497722631018046,509972
25600,256.0,3,884.1600341796875,349.7708435058594,18.702161466147686,49.89742939331807,0.09202570468187332,0.4537937641143799,210.45225668485952,209.5426151023827,0.9493082744937248,511635
3200,32.0,0,918.4400634765625,10.874150276184082,3.297597652259002,5.014227521478828,0.04779266566038132,0.4227598011493683,66.95540763306883,66.86677867230895,0.9976891410648063,512268
3200,32.0,1,441.7599792480469,11.034013748168945,3.3217485979780204,5.595163259419549,0.057258278131484985,0.42229121923446655,49.1503840667217,49.02903395025116,0.9961336065120232,511482
3200,32.0,2,513.4799194335938,10.957483291625977,3.3102089498437977,5.515871697075956,0.05227961018681526,0.43373361229896545,52.5424679426081,52.429319039080184,0.9976162115986088,511560
3200,32.0,3,911.9601440429688,10.86734676361084,3.2965659046363442,5.030703107914093,0.04807249829173088,0.42301154136657715,66.80210505835586,66.71455491950482,0.9978482018269007,512212
400,4.0,0,853.8798217773438,9.45068073272705,3.0741959489803268,0.5792626915136334,0.04374712333083153,0.42085620760917664,22.05435505791126,21.83125655167688,0.9950402979767548,517720
400,4.0,1,411.719970703125,9.617347717285156,3.101184889245586,0.6459853374700137,0.0454910509288311,0.41903698444366455,16.393025734275213,16.085285160571427,0.9947490224309038,517465
400,4.0,2,479.04010009765625,9.617347717285156,3.101184889245586,0.637208581366877,0.042205728590488434,0.43006423115730286,17.47972632850787,17.191350359956935,0.9947743723074675,517435
