kind,gain_label,gain_x,plane,center_raw12,temporal_rms_raw12,pixel_fpn_rms_raw12,row_fpn_rms_raw12,col_fpn_rms_raw12,row_dynamic_rms_raw12,col_dynamic_rms_raw12,hot_pct
black,100,1.0,0,256.7199401855469,1.2233554124832153,0.1798185557126999,0.020466502755880356,0.022224685177206993,0.06402520835399628,0.03751055523753166,0.033371913580246916
black,100,1.0,1,256.6400146484375,1.2247449159622192,0.17953290045261383,0.01887679100036621,0.02300630882382393,0.06402520835399628,0.03751055523753166,0.0464891975308642
black,100,1.0,2,256.6400146484375,1.2247449159622192,0.17962507903575897,0.01937953755259514,0.023440850898623466,0.06402520835399628,0.03751055523753166,0.04822530864197531
black,100,1.0,3,256.71990966796875,1.2233554124832153,0.17971080541610718,0.01993401162326336,0.02264583855867386,0.06402520835399628,0.03751055523753166,0.032214506172839504
black,200,2.0,0,256.48004150390625,1.8140606880187988,0.2730102837085724,0.023050501942634583,0.025707077234983444,0.07829125970602036,0.05606238171458244,0.08526234567901235
black,200,2.0,1,256.39996337890625,1.8257418870925903,0.2739574611186981,0.023496337234973907,0.0221937857568264,0.07829125970602036,0.05606238171458244,0.11053240740740741
black,200,2.0,2,256.3999938964844,1.8257418870925903,0.2733753025531769,0.023025045171380043,0.022544056177139282,0.07829125970602036,0.05606238171458244,0.1099537037037037
black,200,2.0,3,256.48004150390625,1.8140606880187988,0.2728215157985687,0.022593267261981964,0.02496887743473053,0.07829125970602036,0.05606238171458244,0.08950617283950618
black,400,4.0,0,256.5600280761719,3.0741958618164062,0.4718548059463501,0.03774409741163254,0.05426384508609772,0.12881194055080414,0.09526403248310089,0.13117283950617284
black,400,4.0,1,256.32000732421875,3.101184844970703,0.4720397889614105,0.03660654276609421,0.04555409401655197,0.12881194055080414,0.09526403248310089,0.18036265432098766
black,400,4.0,2,256.3599853515625,3.101184844970703,0.47195911407470703,0.038335543125867844,0.044138506054878235,0.12881194055080414,0.09526403248310089,0.18614969135802467
black,400,4.0,3,256.55999755859375,3.0686588287353516,0.47074753046035767,0.03528028726577759,0.05562079697847366,0.12881194055080414,0.09526403248310089,0.14467592592592593
black,800,8.0,0,256.9200744628906,5.475789546966553,0.8458699584007263,0.07180391997098923,0.109501913189888,0.5313674807548523,0.5129209160804749,0.16743827160493827
black,800,8.0,1,256.44000244140625,5.527720928192139,0.8463626503944397,0.07449771463871002,0.08957688510417938,0.5313674807548523,0.5129209160804749,0.21161265432098766
black,800,8.0,2,256.51995849609375,5.528336048126221,0.8447787761688232,0.07066222280263901,0.08540733903646469,0.5313674807548523,0.5129209160804749,0.2158564814814815
black,800,8.0,3,256.8799743652344,5.473925590515137,0.8455424308776855,0.06899164617061615,0.1133459284901619,0.5313674807548523,0.5129209160804749,0.16666666666666669
black,1600,16.0,0,256.44000244140625,1.9148542881011963,0.6169813871383667,0.029816461727023125,0.03016282618045807,0.1145787462592125,0.060673393309116364,0.8626543209876544
black,1600,16.0,1,256.5200500488281,1.9254825115203857,0.6170310974121094,0.033224787563085556,0.029601149260997772,0.1145787462592125,0.060673393309116364,1.0252700617283952
black,1600,16.0,2,256.52001953125,1.9254825115203857,0.6170902848243713,0.03220820054411888,0.0306781567633152,0.1145787462592125,0.060673393309116364,1.0376157407407407
black,1600,16.0,3,256.44000244140625,1.9148542881011963,0.615632176399231,0.030071014538407326,0.03066103160381317,0.1145787462592125,0.060673393309116364,0.8854166666666666
black,3200,32.0,0,256.84002685546875,3.297597646713257,1.1782774925231934,0.04597226902842522,0.0704021081328392,0.15187618136405945,0.10559380054473877,1.1828703703703705
black,3200,32.0,1,257.0000305175781,3.3217484951019287,1.1807844638824463,0.04854891449213028,0.06868317723274231,0.15187618136405945,0.10559380054473877,1.3344907407407407
black,3200,32.0,2,257.0000915527344,3.310209035873413,1.1817529201507568,0.04665793478488922,0.0659029483795166,0.15187618136405945,0.10559380054473877,1.3194444444444444
black,3200,32.0,3,256.8399658203125,3.2965660095214844,1.1779851913452148,0.043108586221933365,0.07092362642288208,0.15187618136405945,0.10559380054473877,1.1936728395061729
black,6400,64.0,0,256.8399353027344,5.950047016143799,2.260443925857544,0.08403516560792923,0.16393901407718658,0.24045208096504211,0.19095250964164734,1.208912037037037
black,6400,64.0,1,257.0799560546875,5.995888710021973,2.2676546573638916,0.09971307218074799,0.15909866988658905,0.24045208096504211,0.19095250964164734,1.3622685185185186
black,6400,64.0,2,257.12005615234375,5.977992534637451,2.270526647567749,0.0895090103149414,0.15339620411396027,0.24045208096504211,0.19095250964164734,1.3493441358024691
black,6400,64.0,3,256.72003173828125,5.950047492980957,2.260617733001709,0.088604636490345,0.16127954423427582,0.24045208096504211,0.19095250964164734,1.1930941358024691
black,12800,128.0,0,257.29998779296875,10.54849910736084,4.079959392547607,0.1440405249595642,0.2736875116825104,0.4122907221317291,0.3675413131713867,1.240354938271605
black,12800,128.0,1,257.739990234375,10.622364044189453,4.0586628913879395,0.15794514119625092,0.27452728152275085,0.4122907221317291,0.3675413131713867,1.5123456790123457
black,12800,128.0,2,257.8200378417969,10.592381477355957,4.064052581787109,0.14823304116725922,0.266274631023407,0.4122907221317291,0.3675413131713867,1.5179398148148149
black,12800,128.0,3,257.1400451660156,10.552085876464844,4.075261116027832,0.15455369651317596,0.27949583530426025,0.4122907221317291,0.3675413131713867,1.2077546296296295
black,25600,256.0,0,258.1400146484375,18.721202850341797,7.197166919708252,0.24603688716888428,0.4253675639629364,0.7188353538513184,0.6758676767349243,1.4230324074074074
black,25600,256.0,1,258.9000549316406,18.855260848999023,7.198261260986328,0.24154925346374512,0.4450693428516388,0.7188353538513184,0.6758676767349243,1.5771604938271604
black,25600,256.0,2,259.0199890136719,18.796586990356445,7.179447174072266,0.23397913575172424,0.41828978061676025,0.7188353538513184,0.6758676767349243,1.6257716049382716
black,25600,256.0,3,257.94000244140625,18.70216178894043,7.22851037979126,0.23342223465442657,0.4377152621746063,0.7188353538513184,0.6758676767349243,1.3049768518518519
color,100,1.0,0,1137.7601318359375,11.394369125366211,406.26141357421875,275.57452392578125,193.26231384277344,0.3928804397583008,0.3670361638069153,0.000771604938271605
color,100,1.0,1,679.9199829101562,8.42120361328125,204.8966827392578,125.58805847167969,90.54767608642578,0.3928804397583008,0.3670361638069153,0.0
color,100,1.0,2,750.0399169921875,9.015009880065918,219.38087463378906,158.24655151367188,108.27318572998047,0.3928804397583008,0.3670361638069153,0.0
color,100,1.0,3,1131.56005859375,11.371359825134277,403.6505432128906,271.5624084472656,192.77549743652344,0.3928804397583008,0.3670361638069153,0.00019290123456790125
color,200,2.0,0,1114.760009765625,15.662686347961426,394.59423828125,265.8714294433594,188.56912231445312,0.6360684633255005,0.462005615234375,0.04378858024691358
color,200,2.0,1,669.3201293945312,11.595213890075684,199.39291381835938,121.33914184570312,88.49424743652344,0.6360684633255005,0.462005615234375,0.000771604938271605
color,200,2.0,2,737.2801513671875,12.401721954345703,213.4983673095703,153.69076538085938,105.7718734741211,0.6360684633255005,0.462005615234375,0.0
color,200,2.0,3,1109.0797119140625,15.643509864807129,392.6025390625,265.2358703613281,187.94277954101562,0.6360684633255005,0.462005615234375,0.039544753086419755
color,400,4.0,0,1110.280029296875,22.050769805908203,391.2919616699219,262.5283203125,187.900146484375,0.9237383008003235,0.63363116979599,0.06809413580246913
color,400,4.0,1,668.0399169921875,16.395360946655273,198.31436157226562,120.22543334960938,88.26071166992188,0.9237383008003235,0.63363116979599,0.0023148148148148147
color,400,4.0,2,735.43994140625,17.482450485229492,212.0498046875,152.47042846679688,105.22533416748047,0.9237383008003235,0.63363116979599,0.00019290123456790125
color,400,4.0,3,1104.5599365234375,22.03472137451172,389.2379455566406,263.4035339355469,186.42628479003906,0.9237383008003235,0.63363116979599,0.05767746913580247
color,800,8.0,0,1106.239990234375,31.423206329345703,391.0546569824219,262.2351989746094,187.83998107910156,1.7068957090377808,0.971820056438446,0.0019290123456790122
color,800,8.0,1,663.3599853515625,23.47768211364746,198.20574951171875,120.16850280761719,88.1061782836914,1.7068957090377808,0.971820056438446,0.0
color,800,8.0,2,730.6400146484375,24.991666793823242,211.9007110595703,152.1917724609375,105.29387664794922,1.7068957090377808,0.971820056438446,0.0009645061728395061
color,800,8.0,3,1100.52001953125,31.3702392578125,388.9230041503906,262.2923278808594,186.8638153076172,1.7068957090377808,0.971820056438446,0.0003858024691358025
color,1600,16.0,0,1191.2398681640625,48.05101013183594,429.5311279296875,291.823486328125,205.29371643066406,3.7086195945739746,1.3356419801712036,0.008101851851851851
color,1600,16.0,1,706.5599365234375,35.235408782958984,217.448974609375,133.60081481933594,96.19233703613281,3.7086195945739746,1.3356419801712036,0.0
color,1600,16.0,2,779.6000366210938,37.661781311035156,232.3442840576172,168.56138610839844,114.81493377685547,3.7086195945739746,1.3356419801712036,0.0
color,1600,16.0,3,1184.840087890625,47.9520378112793,426.80841064453125,289.0386962890625,204.82711791992188,3.7086195945739746,1.3356419801712036,0.007908950617283951
color,3200,32.0,0,1174.960205078125,66.9495849609375,422.2021179199219,286.9462890625,201.6157684326172,5.455352306365967,1.8577455282211304,0.00019290123456790125
color,3200,32.0,1,698.5599365234375,49.157798767089844,213.8509521484375,131.1645050048828,94.80821228027344,5.455352306365967,1.8577455282211304,0.0
color,3200,32.0,2,770.3199462890625,52.550025939941406,228.3744659423828,165.34127807617188,113.25244140625,5.455352306365967,1.8577455282211304,0.0
color,3200,32.0,3,1168.56005859375,66.80696105957031,419.5381164550781,283.260986328125,201.6749725341797,5.455352306365967,1.8577455282211304,0.0003858024691358025
color,6400,64.0,0,1166.739990234375,95.59844207763672,420.29443359375,285.6517639160156,201.02723693847656,11.441346168518066,2.627056121826172,0.0005787037037037037
color,6400,64.0,1,692.97998046875,70.01753234863281,212.80618286132812,130.33291625976562,94.69708251953125,11.441346168518066,2.627056121826172,0.0
color,6400,64.0,2,763.7000122070312,74.91204071044922,227.29563903808594,164.1348114013672,113.37018585205078,11.441346168518066,2.627056121826172,0.0
color,6400,64.0,3,1160.2200927734375,95.41021728515625,417.59100341796875,281.4106140136719,200.78184509277344,11.441346168518066,2.627056121826172,0.0
color,12800,128.0,0,1131.860107421875,140.2085418701172,415.2523193359375,280.76104736328125,198.07630920410156,26.658628463745117,3.706516981124878,0.0
color,12800,128.0,1,665.7799072265625,99.7879867553711,207.52828979492188,125.47676086425781,92.08084106445312,26.658628463745117,3.706516981124878,0.0
color,12800,128.0,2,734.7000122070312,107.85623168945312,222.40354919433594,159.1646728515625,110.46263885498047,26.658628463745117,3.706516981124878,0.0
color,12800,128.0,3,1125.580078125,140.00006103515625,412.7288818359375,276.9348449707031,197.93714904785156,26.658628463745117,3.706516981124878,0.0003858024691358025
