plane,settings,persistent_threshold,persistent_hot_pct,any_hot_pct,max_persistence
0,9,4,0.7351466049382716,2.446952160493827,9
1,9,4,0.8647762345679013,2.7424768518518516,9
2,9,4,0.8890817901234569,2.7528935185185186,9
3,9,4,0.7366898148148149,2.357831790123457,9
