gain_label,gain_x,plane,frames,common_dynamic_rms_raw12,row_dynamic_rms_raw12,col_dynamic_rms_raw12,unstructured_temporal_rms_raw12
100,1.0,0,50,0.2400195300579071,0.025715461000800133,0.022910786792635918,1.2086215019226074
100,1.0,1,50,0.280029296875,0.02658347599208355,0.02373090386390686,1.212591290473938
100,1.0,2,50,0.280029296875,0.02670935168862343,0.02360609732568264,1.2127752304077148
100,1.0,3,50,0.24002015590667725,0.025658713653683662,0.022951552644371986,1.2088013887405396
200,2.0,0,50,0.320028692483902,0.05432002618908882,0.044377706944942474,1.7989048957824707
200,2.0,1,50,0.26471129059791565,0.051988739520311356,0.04001794382929802,1.8129810094833374
200,2.0,2,50,0.2784745395183563,0.052461497485637665,0.040082644671201706,1.8121083974838257
200,2.0,3,50,0.3200225532054901,0.053730737417936325,0.04448835551738739,1.7978012561798096
400,4.0,0,50,0.21608056128025055,0.19748398661613464,0.15611012279987335,3.047380208969116
400,4.0,1,50,0.14299051463603973,0.14091479778289795,0.11309514939785004,3.0728955268859863
400,4.0,2,50,0.15927301347255707,0.14241187274456024,0.1145005151629448,3.0733156204223633
400,4.0,3,50,0.2111411839723587,0.19258108735084534,0.15006381273269653,3.044456720352173
800,8.0,0,50,0.482992023229599,0.33836832642555237,0.28924891352653503,5.406411647796631
800,8.0,1,50,0.4774974584579468,0.33392560482025146,0.284279465675354,5.457229137420654
800,8.0,2,50,0.4813997745513916,0.33227410912513733,0.28389713168144226,5.456571102142334
800,8.0,3,50,0.47909289598464966,0.3379954993724823,0.287021666765213,5.404397964477539
1600,16.0,0,50,0.23777194321155548,0.14104627072811127,0.07720237225294113,1.8957256078720093
1600,16.0,1,50,0.1999923586845398,0.11645340174436569,0.06534048169851303,1.9076972007751465
1600,16.0,2,50,0.20000305771827698,0.114845409989357,0.06507362425327301,1.9038618803024292
1600,16.0,3,50,0.23851437866687775,0.14166294038295746,0.0776020884513855,1.8953393697738647
3200,32.0,0,50,0.11592598259449005,0.2888467609882355,0.2088143229484558,3.265160083770752
3200,32.0,1,50,0.04118213802576065,0.30306360125541687,0.2106500118970871,3.287761688232422
3200,32.0,2,50,0.039580557495355606,0.29940319061279297,0.21225377917289734,3.2784438133239746
3200,32.0,3,50,0.12636440992355347,0.28894633054733276,0.20751221477985382,3.2639145851135254
6400,64.0,0,50,0.17017966508865356,0.3625684380531311,0.3136509656906128,5.892210006713867
6400,64.0,1,50,0.16570091247558594,0.37192782759666443,0.3135095536708832,5.9351606369018555
6400,64.0,2,50,0.1534736305475235,0.37098559737205505,0.31529340147972107,5.9173264503479
6400,64.0,3,50,0.17789676785469055,0.3656022846698761,0.3133224844932556,5.889681339263916
12800,128.0,0,50,0.33999404311180115,0.5871708393096924,0.5534335374832153,10.448871612548828
12800,128.0,1,50,0.34817904233932495,0.589120626449585,0.5502812266349792,10.519216537475586
12800,128.0,2,50,0.32201120257377625,0.5850203037261963,0.5481844544410706,10.494887351989746
12800,128.0,3,50,0.34744328260421753,0.5867135524749756,0.5551493167877197,10.44591236114502
25600,256.0,0,50,0.6824035048484802,0.986892819404602,0.9799261093139648,18.53460121154785
25600,256.0,1,50,0.683623731136322,0.9822981953620911,0.9736328721046448,18.67428970336914
25600,256.0,2,50,0.6631380319595337,0.995224118232727,0.971051037311554,18.61516761779785
25600,256.0,3,50,0.6845660209655762,0.9821212291717529,0.973432719707489,18.521963119506836
